subset,path,repeat,location,source_mm3,witness_mm3,raw_removed_mm3,normalized_removed_mm3,raw_relief_ratio,normalized_relief_ratio,epsilon_zero_mm3,normalization_applied,engineering_status
L03,ORDERED_SEQUENTIAL_CUT,1,FCStd_reopen,13154.148181032444,13025.315072459227,128.83310857321703,128.83310857321703,0.009794105007801817,0.009794105007801817,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,UNION_THEN_SINGLE_CUT,0,memory,13154.148181032444,12693.93730792636,460.21087310608345,460.21087310608345,0.03498598820482212,0.03498598820482212,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,UNION_THEN_SINGLE_CUT,0,BREP_reopen,13154.148181032444,12693.93730792634,460.21087310610346,460.21087310610346,0.03498598820482364,0.03498598820482364,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,UNION_THEN_SINGLE_CUT,0,FCStd_reopen,13154.148181032444,12693.93730792636,460.21087310608345,460.21087310608345,0.03498598820482212,0.03498598820482212,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,UNION_THEN_SINGLE_CUT,1,memory,13154.148181032444,12693.93730792636,460.21087310608345,460.21087310608345,0.03498598820482212,0.03498598820482212,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,UNION_THEN_SINGLE_CUT,1,BREP_reopen,13154.148181032444,12693.93730792634,460.21087310610346,460.21087310610346,0.03498598820482364,0.03498598820482364,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,UNION_THEN_SINGLE_CUT,1,FCStd_reopen,13154.148181032444,12693.93730792636,460.21087310608345,460.21087310608345,0.03498598820482212,0.03498598820482212,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,ORDERED_SEQUENTIAL_CUT,0,memory,13154.148181032444,12693.93730792636,460.21087310608345,460.21087310608345,0.03498598820482212,0.03498598820482212,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,ORDERED_SEQUENTIAL_CUT,0,BREP_reopen,13154.148181032444,12693.93730792634,460.21087310610346,460.21087310610346,0.03498598820482364,0.03498598820482364,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,ORDERED_SEQUENTIAL_CUT,0,FCStd_reopen,13154.148181032444,12693.93730792636,460.21087310608345,460.21087310608345,0.03498598820482212,0.03498598820482212,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,ORDERED_SEQUENTIAL_CUT,1,memory,13154.148181032444,12693.93730792636,460.21087310608345,460.21087310608345,0.03498598820482212,0.03498598820482212,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,ORDERED_SEQUENTIAL_CUT,1,BREP_reopen,13154.148181032444,12693.93730792634,460.21087310610346,460.21087310610346,0.03498598820482364,0.03498598820482364,0.013154148181032443,False,NONNEGATIVE_RETAINED
L05,ORDERED_SEQUENTIAL_CUT,1,FCStd_reopen,13154.148181032444,12693.93730792636,460.21087310608345,460.21087310608345,0.03498598820482212,0.03498598820482212,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,UNION_THEN_SINGLE_CUT,0,memory,13154.148181032444,12426.182074823531,727.9661062089126,727.9661062089126,0.055341181822673974,0.055341181822673974,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,UNION_THEN_SINGLE_CUT,0,BREP_reopen,13154.148181032444,12426.18207482351,727.9661062089344,727.9661062089344,0.05534118182267563,0.05534118182267563,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,UNION_THEN_SINGLE_CUT,0,FCStd_reopen,13154.148181032444,12426.182074823539,727.9661062089053,727.9661062089053,0.05534118182267342,0.05534118182267342,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,UNION_THEN_SINGLE_CUT,1,memory,13154.148181032444,12426.182074823531,727.9661062089126,727.9661062089126,0.055341181822673974,0.055341181822673974,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,UNION_THEN_SINGLE_CUT,1,BREP_reopen,13154.148181032444,12426.18207482351,727.9661062089344,727.9661062089344,0.05534118182267563,0.05534118182267563,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,UNION_THEN_SINGLE_CUT,1,FCStd_reopen,13154.148181032444,12426.182074823539,727.9661062089053,727.9661062089053,0.05534118182267342,0.05534118182267342,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,ORDERED_SEQUENTIAL_CUT,0,memory,13154.148181032444,12426.182074823537,727.9661062089071,727.9661062089071,0.05534118182267356,0.05534118182267356,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,ORDERED_SEQUENTIAL_CUT,0,BREP_reopen,13154.148181032444,12426.18207482351,727.9661062089344,727.9661062089344,0.05534118182267563,0.05534118182267563,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,ORDERED_SEQUENTIAL_CUT,0,FCStd_reopen,13154.148181032444,12426.182074823535,727.966106208909,727.966106208909,0.055341181822673696,0.055341181822673696,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,ORDERED_SEQUENTIAL_CUT,1,memory,13154.148181032444,12426.182074823537,727.9661062089071,727.9661062089071,0.05534118182267356,0.05534118182267356,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,ORDERED_SEQUENTIAL_CUT,1,BREP_reopen,13154.148181032444,12426.18207482351,727.9661062089344,727.9661062089344,0.05534118182267563,0.05534118182267563,0.013154148181032443,False,NONNEGATIVE_RETAINED
L06,ORDERED_SEQUENTIAL_CUT,1,FCStd_reopen,13154.148181032444,12426.182074823535,727.966106208909,727.966106208909,0.055341181822673696,0.055341181822673696,0.013154148181032443,False,NONNEGATIVE_RETAINED
L07,UNION_THEN_SINGLE_CUT,0,memory,13154.148181032444,13154.148554984415,-0.0003739519706869032,0.0,-2.842844443748333e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L07,UNION_THEN_SINGLE_CUT,0,BREP_reopen,13154.148181032444,13154.148554984411,-0.0003739519670489244,0.0,-2.8428444160918192e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L07,UNION_THEN_SINGLE_CUT,0,FCStd_reopen,13154.148181032444,13154.148554984415,-0.0003739519706869032,0.0,-2.842844443748333e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L07,UNION_THEN_SINGLE_CUT,1,memory,13154.148181032444,13154.148554984415,-0.0003739519706869032,0.0,-2.842844443748333e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L07,UNION_THEN_SINGLE_CUT,1,BREP_reopen,13154.148181032444,13154.148554984411,-0.0003739519670489244,0.0,-2.8428444160918192e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L07,UNION_THEN_SINGLE_CUT,1,FCStd_reopen,13154.148181032444,13154.148554984415,-0.0003739519706869032,0.0,-2.842844443748333e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L07,ORDERED_SEQUENTIAL_CUT,0,memory,13154.148181032444,13154.148554984415,-0.0003739519706869032,0.0,-2.842844443748333e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L07,ORDERED_SEQUENTIAL_CUT,0,BREP_reopen,13154.148181032444,13154.148554984411,-0.0003739519670489244,0.0,-2.8428444160918192e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
L07,ORDERED_SEQUENTIAL_CUT,0,FCStd_reopen,13154.148181032444,13154.148554984415,-0.0003739519706869032,0.0,-2.842844443748333e-08,0.0,0.013154148181032443,True,ZERO_RELIEF_WITHIN_ENGINEERING_TOLERANCE
