api_calls,assembly_assembly_graph_f1,assembly_assembly_graph_precision,assembly_assembly_graph_recall,assembly_gt_edge_count,assembly_gt_link_count,assembly_matched_edges,assembly_matched_parts,assembly_part_f1,assembly_part_precision,assembly_part_recall,assembly_pred_edge_count,assembly_pred_link_count,cad_urdf_consistency_joint_axis_error_degrees_median,cad_urdf_consistency_joint_origin_error_median_meters,cad_urdf_consistency_matched_joints,cad_urdf_consistency_status,case_id,error,failure_patterns,geometry_chamfer,geometry_hausdorff_max,geometry_hd95,geometry_note,geometry_per_link_count,geometry_sample_count_per_robot,geometry_voxel_iou,geometry_voxel_pitch_normalized,input_tokens,kinematic_axis_error_degrees_mean,kinematic_axis_error_degrees_median,kinematic_joint_origin_error_normalized_mean,kinematic_joint_origin_error_normalized_median,kinematic_joint_type_accuracy,kinematic_matched_joints,latency_seconds,motion_end_effector_gt_link,motion_end_effector_rotation_error_degrees_median,motion_end_effector_translation_error_normalized_median,motion_link_rotation_error_degrees_mean,motion_link_rotation_error_degrees_median,motion_link_translation_error_normalized_mean,motion_link_translation_error_normalized_median,motion_mapped_links,output_tokens,run_status,total_tokens,variant
1,0.5333333333333333,1.0,0.36363636363636365,11,12,4,5,0.5882352941176471,1.0,0.4166666666666667,4,5,,,0,NOT_APPLICABLE,dev_arm-07307859e2,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.002550769114635648,0.17920678729908845,0.10302297703882517,hd95 is robust Hausdorff; hausdorff_max is also reported,5,3000,0.36065573770491804,0.05,1101,45.0,45.0,0.22404711002938327,0.21808095977767092,0.36363636363636365,4,35.080398900001455,panda_link4,120.00012150855915,0.45784127984405626,69.65062635117559,80.48365081971875,0.2758339981158355,0.2648975441096205,5,1978,SUCCESS,3079,simplecad
1,0.1818181818181818,0.5,0.1111111111111111,9,10,1,3,0.4615384615384615,1.0,0.3,2,3,,,0,NOT_APPLICABLE,dev_arm-dcc2b0ce1e,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0009452492690203315,0.10176068857504247,0.06493526001817125,hd95 is robust Hausdorff; hausdorff_max is also reported,3,3000,0.4423791821561338,0.05,1101,90.0,90.0,0.24989452995225211,0.24989452995225211,0.1111111111111111,1,26.735431199998857,link_3,100.87263460635465,0.3316834479398722,91.8580131640743,86.0820705168235,0.30998029702873225,0.18174170514053095,3,1456,SUCCESS,2557,simplecad
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,,,0,NOT_APPLICABLE,dev_arm-3ce41d3c31,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.00458167651966956,0.19009998472844186,0.1473867972155242,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.14583333333333334,0.05,1101,60.0,90.0,0.23140367671336914,0.2729763758758462,0.3333333333333333,3,44.197070500000336,link_3,138.66458538336752,0.33436787355809483,120.17854418338892,132.80270357942052,0.18629109415273573,0.23047986171690443,4,2430,SUCCESS,3531,simplecad
1,0.8571428571428571,1.0,0.75,4,5,3,4,0.888888888888889,1.0,0.8,3,4,,,0,NOT_APPLICABLE,dev_arm-ab15a75247,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.01008162350004909,0.34903571899180097,0.2517933181763288,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.18840579710144928,0.05,1101,60.0,90.0,0.3580639124958071,0.3181330873311977,0.75,3,205.6460944999999,link3,94.83377201369471,0.6563597320583802,135.3872485853512,120.0000000195102,0.3751866504530621,0.29293628761569473,4,11782,SUCCESS,12883,simplecad
1,0.6666666666666666,1.0,0.5,6,7,3,4,0.7272727272727273,1.0,0.5714285714285714,3,4,,,0,NOT_APPLICABLE,dev_arm-42e898b1a2,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.004841202193880747,0.22055862074224308,0.1427615233727127,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.1951219512195122,0.05,1101,0.0,0.0,0.27998628416539934,0.30718061090091314,0.5,3,299.3132571999995,meca_axis_3_link,22.499766135889868,0.2701473575395918,11.821449032379308,10.000105126328743,0.15715644149780889,0.1586216938526098,4,17526,SUCCESS,18627,simplecad
1,0.888888888888889,1.0,0.8,5,6,4,5,0.9090909090909091,1.0,0.8333333333333334,4,5,,,0,NOT_APPLICABLE,dev_arm-10f5f05385,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0018376701504122465,0.14206826326043306,0.08753628682312493,hd95 is robust Hausdorff; hausdorff_max is also reported,5,3000,0.31932773109243695,0.05,1101,45.0,45.0,0.26329485457783525,0.2523499012797419,0.8,4,220.0155433,END-EFFECTOR,178.38616743680262,0.24383121110740336,77.82791038737344,88.0456430867978,0.1329531865258429,0.07141002826648661,5,12846,SUCCESS,13947,simplecad
1,0.42857142857142855,0.5,0.375,8,9,3,6,0.75,0.8571428571428571,0.6666666666666666,6,7,,,0,NOT_APPLICABLE,dev_arm-d55f01b988,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.00986092066567067,0.26772030268576197,0.20178658398330537,hd95 is robust Hausdorff; hausdorff_max is also reported,6,3000,0.11742424242424243,0.05,1101,90.0,90.0,0.23031362595310303,0.27923965795816114,0.25,3,225.42152420000093,gripper_link,143.3840955587813,14.872426069071535,107.97266353241118,118.90392508787731,5.168389735272148,0.470810210065816,6,13130,SUCCESS,14231,simplecad
1,0.1739130434782609,0.6666666666666666,0.1,20,21,2,4,0.32,1.0,0.19047619047619047,3,4,,,0,NOT_APPLICABLE,dev_arm-551a9c392e,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.002749349182393626,0.14671397556458235,0.10988040373496638,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.23497267759562843,0.05,1101,45.0,45.0,0.05019473198721303,0.05019473198721303,0.1,2,31.460609300000215,head,135.0253820270079,0.3710603200242965,60.115774846011426,44.807627307145005,0.1180464634263659,0.05836360101412712,4,1771,SUCCESS,2872,simplecad
1,0.5,0.6666666666666666,0.4,10,11,4,6,0.6666666666666665,0.8571428571428571,0.5454545454545454,6,7,,,0,NOT_APPLICABLE,dev_arm-21b8992ec4,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0016107628305857536,0.11289194075500517,0.086127575454933,hd95 is robust Hausdorff; hausdorff_max is also reported,6,3000,0.17647058823529413,0.05,1101,45.0,45.0,0.14808295835297403,0.13454144888706787,0.4,4,48.30133879999994,arm_5_link,60.948999168839144,0.3824376795117217,65.61910883104646,63.46498975179274,0.19431631507819033,0.15702221180992576,6,2729,SUCCESS,3830,simplecad
1,0.5,1.0,0.3333333333333333,9,10,3,4,0.5714285714285715,1.0,0.4,3,4,,,0,NOT_APPLICABLE,dev_arm-0573e1e127,,missing_parts;poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology,0.0022738665657978012,0.16371645115985653,0.0921559008448635,hd95 is robust Hausdorff; hausdorff_max is also reported,4,3000,0.4240231548480463,0.05,1101,90.0,90.0,0.1944419315782291,0.25472305897802394,0.1111111111111111,3,37.46548620000067,link_3,101.25000000000001,0.5338724356690394,92.33516462407871,101.24999999999999,0.38186293622429746,0.32860273575666327,4,2006,SUCCESS,3107,simplecad
