condition,case_id,joint_index,radius_m,local_chamfer_mm2
C,dev_arm-ab15a75247,3,0.04187241293179906,0.00022431020352190552
C,dev_arm-cb42051aad,0,0.1016617389139592,0.0025435158071129347
C,dev_arm-cb42051aad,1,0.1016617389139592,0.002736795142134484
C,dev_arm-cb42051aad,2,0.1016617389139592,0.0027132339643158505
C,dev_arm-cb42051aad,3,0.1016617389139592,0.002862192006531895
C,dev_arm-cb42051aad,4,0.1016617389139592,0.0013918777270966471
C,dev_arm-cb42051aad,5,0.1016617389139592,0.0007919988995059803
C,dev_arm-cb42051aad,6,0.1016617389139592,0.0024764408842863
C,dev_arm-cb42051aad,7,0.1016617389139592,0.000771110014278782
C,dev_arm-cb42051aad,8,0.1016617389139592,0.0007568248596298748
C,dev_arm-d55f01b988,0,0.0430189524012178,4.1338955581346225e-05
C,dev_arm-d55f01b988,1,0.0430189524012178,4.119751295242384e-05
C,dev_arm-d55f01b988,2,0.0430189524012178,3.418414999031553e-05
C,dev_arm-d55f01b988,3,0.0430189524012178,4.8151311738724834e-05
C,dev_arm-d55f01b988,4,0.0430189524012178,3.630859443720126e-05
C,dev_arm-d55f01b988,5,0.0430189524012178,9.682934380388807e-05
C,dev_arm-d55f01b988,6,0.0430189524012178,0.00011383854162208654
C,dev_arm-d55f01b988,7,0.0430189524012178,7.889021456557382e-05
C,dev_arm-dcc2b0ce1e,0,0.15206415285384897,0.0005614866719004393
C,dev_arm-dcc2b0ce1e,1,0.15206415285384897,0.0005769857114428876
C,dev_arm-dcc2b0ce1e,2,0.15206415285384897,0.0007053883002400018
C,dev_arm-dcc2b0ce1e,3,0.15206415285384897,0.0007314844085229521
C,dev_arm-dcc2b0ce1e,4,0.15206415285384897,0.00030611311353935256
C,dev_arm-dcc2b0ce1e,5,0.15206415285384897,0.001833625566496144
C,dev_arm-dcc2b0ce1e,6,0.15206415285384897,0.001920268022459655
C,dev_arm-dcc2b0ce1e,7,0.15206415285384897,0.00044617833069948205
C,dev_arm-dcc2b0ce1e,8,0.15206415285384897,0.0017754203250200926
C,dev_arm-f7b0b901d3,0,0.09380736911834071,0.0005827933456047543
C,dev_arm-f7b0b901d3,1,0.09380736911834071,0.0007747836096043622
C,dev_arm-f7b0b901d3,2,0.09380736911834071,0.0003133726114805424
C,dev_arm-f7b0b901d3,3,0.09380736911834071,0.000385277056534385
C,dev_arm-f7b0b901d3,4,0.09380736911834071,0.00021461982659592218
C,dev_arm-f7b0b901d3,5,0.09380736911834071,0.0004908056695769326
C,dev_arm-f7b0b901d3,6,0.09380736911834071,0.0005013539343968393
C,dev_arm-f7b0b901d3,7,0.09380736911834071,0.0006598430551886577
C,dev_arm-fdadfa8bdd,0,0.12139735794368126,0.0005143464381597412
C,dev_arm-fdadfa8bdd,1,0.12139735794368126,0.0005487203920021823
C,dev_arm-fdadfa8bdd,2,0.12139735794368126,0.0009377950300639604
C,dev_arm-fdadfa8bdd,3,0.12139735794368126,0.000620756400519273
C,dev_arm-fdadfa8bdd,4,0.12139735794368126,0.0007240754610896246
C,dev_arm-fdadfa8bdd,5,0.12139735794368126,0.0005895815053156607
C,dev_arm-fdadfa8bdd,6,0.12139735794368126,0.00027349995156164477
C,dev_arm-fdadfa8bdd,7,0.12139735794368126,0.000562592338095951
C,dev_arm-fdadfa8bdd,8,0.12139735794368126,0.0005196921702279944
D,dev_arm-0573e1e127,0,0.11411956115839975,0.001035804774472626
D,dev_arm-0573e1e127,1,0.11411956115839975,0.0011154297922414795
D,dev_arm-0573e1e127,2,0.11411956115839975,0.0008123962510542161
D,dev_arm-0573e1e127,3,0.11411956115839975,0.0008677509407407896
D,dev_arm-0573e1e127,4,0.11411956115839975,0.0004473563089191516
D,dev_arm-0573e1e127,5,0.11411956115839975,0.0005067054648091467
D,dev_arm-0573e1e127,6,0.11411956115839975,0.001123788460209075
D,dev_arm-0573e1e127,7,0.11411956115839975,0.0005517457671002876
D,dev_arm-0573e1e127,8,0.11411956115839975,0.0005633923845596691
D,dev_arm-07307859e2,0,0.11897594799911629,0.0007051339588720456
D,dev_arm-07307859e2,1,0.11897594799911629,0.0006776545149893944
D,dev_arm-07307859e2,2,0.11897594799911629,0.00041629269468047977
D,dev_arm-07307859e2,3,0.11897594799911629,0.0006087736433649208
D,dev_arm-07307859e2,4,0.11897594799911629,0.0006682631876264978
D,dev_arm-07307859e2,5,0.11897594799911629,0.0006850870614623113
D,dev_arm-07307859e2,6,0.11897594799911629,0.00038851740743397274
D,dev_arm-07307859e2,7,0.11897594799911629,0.0003987157817918153
D,dev_arm-07307859e2,8,0.11897594799911629,0.00043927014002951225
D,dev_arm-07307859e2,9,0.11897594799911629,0.0006083997405811779
