effect,case_id,metric,right_minus_left
fusion_with_urdf,dev_arm-d55f01b988,chamfer,1.9332140806861177e-05
fusion_with_urdf,dev_arm-d55f01b988,hd95,0.0005793713735146311
fusion_with_urdf,dev_arm-d55f01b988,voxel_iou,-0.04707993335327043
fusion_with_urdf,dev_arm-dcc2b0ce1e,graph_f1,0.0
fusion_with_urdf,dev_arm-dcc2b0ce1e,joint_type,0.0
fusion_with_urdf,dev_arm-dcc2b0ce1e,axis,0.0
fusion_with_urdf,dev_arm-dcc2b0ce1e,origin,0.0
fusion_with_urdf,dev_arm-dcc2b0ce1e,motion,0.006809486873792018
fusion_with_urdf,dev_arm-dcc2b0ce1e,chamfer,3.7229180319241694e-05
fusion_with_urdf,dev_arm-dcc2b0ce1e,hd95,0.0015056348112423568
fusion_with_urdf,dev_arm-dcc2b0ce1e,voxel_iou,-0.0032051282051281937
fusion_with_urdf,dev_arm-f7b0b901d3,graph_f1,0.0
fusion_with_urdf,dev_arm-f7b0b901d3,joint_type,0.0
fusion_with_urdf,dev_arm-f7b0b901d3,axis,0.0
fusion_with_urdf,dev_arm-f7b0b901d3,origin,0.0
fusion_with_urdf,dev_arm-f7b0b901d3,motion,-0.016619894093954292
fusion_with_urdf,dev_arm-f7b0b901d3,chamfer,0.00025203118538014613
fusion_with_urdf,dev_arm-f7b0b901d3,hd95,0.023529642966901007
fusion_with_urdf,dev_arm-f7b0b901d3,voxel_iou,0.0004967454607742172
fusion_with_urdf,dev_arm-fdadfa8bdd,graph_f1,0.0
fusion_with_urdf,dev_arm-fdadfa8bdd,joint_type,0.0
fusion_with_urdf,dev_arm-fdadfa8bdd,axis,0.0
fusion_with_urdf,dev_arm-fdadfa8bdd,origin,0.0
fusion_with_urdf,dev_arm-fdadfa8bdd,motion,-0.004049332953202385
fusion_with_urdf,dev_arm-fdadfa8bdd,chamfer,-3.435629762766116e-05
fusion_with_urdf,dev_arm-fdadfa8bdd,hd95,-0.0006490229793055385
fusion_with_urdf,dev_arm-fdadfa8bdd,voxel_iou,-0.011118358029472253
urdf_primitive,dev_arm-0573e1e127,graph_f1,-0.13333333333333341
urdf_primitive,dev_arm-0573e1e127,joint_type,0.0
urdf_primitive,dev_arm-0573e1e127,axis,0.0
urdf_primitive,dev_arm-0573e1e127,origin,-0.14458520373293182
urdf_primitive,dev_arm-0573e1e127,motion,-0.17057371138911448
urdf_primitive,dev_arm-0573e1e127,chamfer,-0.00033196624878330965
urdf_primitive,dev_arm-0573e1e127,hd95,-0.011674001497625472
urdf_primitive,dev_arm-0573e1e127,voxel_iou,0.05668272150266607
urdf_primitive,dev_arm-07307859e2,graph_f1,0.11229946524064183
urdf_primitive,dev_arm-07307859e2,joint_type,0.2727272727272728
urdf_primitive,dev_arm-07307859e2,axis,-90.0
urdf_primitive,dev_arm-07307859e2,origin,-0.183339914320643
urdf_primitive,dev_arm-07307859e2,motion,-0.13689843772611626
urdf_primitive,dev_arm-07307859e2,chamfer,-6.88006489070218e-05
urdf_primitive,dev_arm-07307859e2,hd95,-0.004476407725533968
urdf_primitive,dev_arm-07307859e2,voxel_iou,-0.07171137685843565
urdf_primitive,dev_arm-10f5f05385,graph_f1,0.20000000000000018
urdf_primitive,dev_arm-10f5f05385,joint_type,0.20000000000000007
urdf_primitive,dev_arm-10f5f05385,axis,-90.0
urdf_primitive,dev_arm-10f5f05385,origin,-0.3641750980680947
urdf_primitive,dev_arm-10f5f05385,motion,-0.21321978399718636
urdf_primitive,dev_arm-10f5f05385,chamfer,0.020564759495120717
urdf_primitive,dev_arm-10f5f05385,hd95,0.19767817316840994
urdf_primitive,dev_arm-10f5f05385,voxel_iou,-0.34319034245611457
urdf_primitive,dev_arm-21b8992ec4,graph_f1,0.475
urdf_primitive,dev_arm-21b8992ec4,joint_type,0.5
urdf_primitive,dev_arm-21b8992ec4,axis,-90.0
urdf_primitive,dev_arm-21b8992ec4,origin,-0.23413706689437783
urdf_primitive,dev_arm-21b8992ec4,motion,-0.15939111155617872
urdf_primitive,dev_arm-21b8992ec4,chamfer,-0.0005322560983038317
urdf_primitive,dev_arm-21b8992ec4,hd95,-0.030215246238996955
urdf_primitive,dev_arm-21b8992ec4,voxel_iou,0.15286549707602337
urdf_primitive,dev_arm-3ce41d3c31,graph_f1,-0.13333333333333341
urdf_primitive,dev_arm-3ce41d3c31,joint_type,0.11111111111111105
urdf_primitive,dev_arm-3ce41d3c31,axis,0.0
urdf_primitive,dev_arm-3ce41d3c31,origin,-0.11899427803712767
urdf_primitive,dev_arm-3ce41d3c31,motion,-0.3149838982572865
urdf_primitive,dev_arm-3ce41d3c31,chamfer,-0.00029310564052923457
urdf_primitive,dev_arm-3ce41d3c31,hd95,-0.004879179535516823
urdf_primitive,dev_arm-3ce41d3c31,voxel_iou,0.06230025567273889
urdf_primitive,dev_arm-42e898b1a2,graph_f1,0.09090909090909094
urdf_primitive,dev_arm-42e898b1a2,joint_type,0.16666666666666663
urdf_primitive,dev_arm-42e898b1a2,axis,0.0
urdf_primitive,dev_arm-42e898b1a2,origin,-0.05872570502517459
urdf_primitive,dev_arm-42e898b1a2,motion,-0.09094064315907399
urdf_primitive,dev_arm-42e898b1a2,chamfer,-0.006277513780314796
urdf_primitive,dev_arm-42e898b1a2,hd95,-0.13103586470118675
urdf_primitive,dev_arm-42e898b1a2,voxel_iou,0.4518776863563797
urdf_primitive,dev_arm-43fa322555,graph_f1,-0.10795454545454541
urdf_primitive,dev_arm-43fa322555,joint_type,0.0625
urdf_primitive,dev_arm-43fa322555,axis,-45.0
urdf_primitive,dev_arm-43fa322555,origin,-0.1920476123448246
urdf_primitive,dev_arm-43fa322555,motion,-0.2788537427110486
urdf_primitive,dev_arm-43fa322555,chamfer,-0.00019908036326477966
urdf_primitive,dev_arm-43fa322555,hd95,-0.014940985297766773
urdf_primitive,dev_arm-43fa322555,voxel_iou,0.03732711619491702
urdf_primitive,dev_arm-4c7b408826,graph_f1,-0.13333333333333341
urdf_primitive,dev_arm-4c7b408826,joint_type,0.0
urdf_primitive,dev_arm-4c7b408826,axis,0.0
urdf_primitive,dev_arm-4c7b408826,origin,-0.24447991834787183
urdf_primitive,dev_arm-4c7b408826,motion,-0.2629743708613061
urdf_primitive,dev_arm-4c7b408826,chamfer,-0.0020973684418817222
urdf_primitive,dev_arm-4c7b408826,hd95,-0.057869070708134546
urdf_primitive,dev_arm-4c7b408826,voxel_iou,0.21513314429125519
urdf_primitive,dev_arm-551a9c392e,graph_f1,0.042307692307692324
urdf_primitive,dev_arm-551a9c392e,joint_type,0.14999999999999997
urdf_primitive,dev_arm-551a9c392e,axis,-90.0
urdf_primitive,dev_arm-551a9c392e,origin,-0.1618192369785822
urdf_primitive,dev_arm-551a9c392e,motion,-0.11416112508402279
urdf_primitive,dev_arm-551a9c392e,chamfer,-0.00031358085528369146
urdf_primitive,dev_arm-551a9c392e,hd95,-0.008377866530801928
urdf_primitive,dev_arm-551a9c392e,voxel_iou,0.019408555842664377
urdf_primitive,dev_arm-cb42051aad,graph_f1,-0.13333333333333341
urdf_primitive,dev_arm-cb42051aad,joint_type,0.0
urdf_primitive,dev_arm-cb42051aad,axis,0.0
urdf_primitive,dev_arm-cb42051aad,origin,-0.18877495400090138
urdf_primitive,dev_arm-cb42051aad,motion,-0.24103753446750922
urdf_primitive,dev_arm-cb42051aad,chamfer,0.003936325395197723
urdf_primitive,dev_arm-cb42051aad,hd95,0.03929137027350532
urdf_primitive,dev_arm-cb42051aad,voxel_iou,-0.2726050420168067
urdf_primitive,dev_arm-d55f01b988,graph_f1,0.46428571428571425
urdf_primitive,dev_arm-d55f01b988,joint_type,0.5
urdf_primitive,dev_arm-d55f01b988,axis,0.0
urdf_primitive,dev_arm-d55f01b988,origin,-0.11913353798580459
urdf_primitive,dev_arm-d55f01b988,motion,-0.2456329952605342
urdf_primitive,dev_arm-d55f01b988,chamfer,-0.006157399300642312
urdf_primitive,dev_arm-d55f01b988,hd95,-0.12478525730327614
urdf_primitive,dev_arm-d55f01b988,voxel_iou,0.4001613089065561
urdf_primitive,dev_arm-f7b0b901d3,graph_f1,-0.1071428571428571
urdf_primitive,dev_arm-f7b0b901d3,joint_type,0.0
urdf_primitive,dev_arm-f7b0b901d3,axis,-45.0
urdf_primitive,dev_arm-f7b0b901d3,origin,-0.1127142938896328
urdf_primitive,dev_arm-f7b0b901d3,motion,-0.18501152530992188
urdf_primitive,dev_arm-f7b0b901d3,chamfer,-0.005918142274708242
urdf_primitive,dev_arm-f7b0b901d3,hd95,-0.1180228864206723
urdf_primitive,dev_arm-f7b0b901d3,voxel_iou,0.13269121491078534
urdf_primitive,dev_arm-fdadfa8bdd,graph_f1,-0.13333333333333341
urdf_primitive,dev_arm-fdadfa8bdd,joint_type,0.0
urdf_primitive,dev_arm-fdadfa8bdd,axis,0.0
urdf_primitive,dev_arm-fdadfa8bdd,origin,-0.2621270410141988
urdf_primitive,dev_arm-fdadfa8bdd,motion,-0.6480898985503468
urdf_primitive,dev_arm-fdadfa8bdd,chamfer,-0.002416702725117975
urdf_primitive,dev_arm-fdadfa8bdd,hd95,-0.05307474152035263
urdf_primitive,dev_arm-fdadfa8bdd,voxel_iou,0.20974321674783375
urdf_fusion,dev_arm-0573e1e127,graph_f1,-0.13333333333333341
urdf_fusion,dev_arm-0573e1e127,joint_type,0.0
urdf_fusion,dev_arm-0573e1e127,axis,0.0
urdf_fusion,dev_arm-0573e1e127,origin,-0.14458520373293182
urdf_fusion,dev_arm-0573e1e127,motion,-0.1630274945851723
urdf_fusion,dev_arm-0573e1e127,chamfer,0.00012157791239066984
urdf_fusion,dev_arm-0573e1e127,hd95,-0.004336313082581519
urdf_fusion,dev_arm-0573e1e127,voxel_iou,-0.10098390727924622
urdf_fusion,dev_arm-07307859e2,graph_f1,0.11229946524064183
urdf_fusion,dev_arm-07307859e2,joint_type,0.2727272727272728
urdf_fusion,dev_arm-07307859e2,axis,-90.0
urdf_fusion,dev_arm-07307859e2,origin,-0.183339914320643
urdf_fusion,dev_arm-07307859e2,motion,-0.133316658254322
urdf_fusion,dev_arm-07307859e2,chamfer,5.4137699617536755e-05
urdf_fusion,dev_arm-07307859e2,hd95,0.0010441821406897214
urdf_fusion,dev_arm-07307859e2,voxel_iou,-0.1168226708955416
urdf_fusion,dev_arm-10f5f05385,graph_f1,0.20000000000000018
urdf_fusion,dev_arm-10f5f05385,joint_type,0.20000000000000007
urdf_fusion,dev_arm-10f5f05385,axis,-90.0
urdf_fusion,dev_arm-10f5f05385,origin,-0.3641750980680947
urdf_fusion,dev_arm-10f5f05385,motion,-0.208174136278761
urdf_fusion,dev_arm-10f5f05385,chamfer,0.020310289502058623
urdf_fusion,dev_arm-10f5f05385,hd95,0.19986270504677012
urdf_fusion,dev_arm-10f5f05385,voxel_iou,-0.36971615841804145
urdf_fusion,dev_arm-21b8992ec4,graph_f1,0.475
urdf_fusion,dev_arm-21b8992ec4,joint_type,0.5
urdf_fusion,dev_arm-21b8992ec4,axis,-90.0
urdf_fusion,dev_arm-21b8992ec4,origin,-0.23413706689437783
urdf_fusion,dev_arm-21b8992ec4,motion,-0.17529656992566706
urdf_fusion,dev_arm-21b8992ec4,chamfer,-0.0006309435295463216
urdf_fusion,dev_arm-21b8992ec4,hd95,-0.03419158023485834
urdf_fusion,dev_arm-21b8992ec4,voxel_iou,0.19575418994413407
urdf_fusion,dev_arm-3ce41d3c31,graph_f1,-0.13333333333333341
urdf_fusion,dev_arm-3ce41d3c31,joint_type,0.11111111111111105
urdf_fusion,dev_arm-3ce41d3c31,axis,0.0
urdf_fusion,dev_arm-3ce41d3c31,origin,-0.11899427803712767
urdf_fusion,dev_arm-3ce41d3c31,motion,-0.324598406477606
urdf_fusion,dev_arm-3ce41d3c31,chamfer,0.0004955181841159466
urdf_fusion,dev_arm-3ce41d3c31,hd95,0.028800992967329908
urdf_fusion,dev_arm-3ce41d3c31,voxel_iou,-0.07444475334383588
urdf_fusion,dev_arm-42e898b1a2,graph_f1,0.09090909090909094
urdf_fusion,dev_arm-42e898b1a2,joint_type,0.16666666666666663
urdf_fusion,dev_arm-42e898b1a2,axis,0.0
urdf_fusion,dev_arm-42e898b1a2,origin,-0.05872570502517459
urdf_fusion,dev_arm-42e898b1a2,motion,-0.07068293508781304
urdf_fusion,dev_arm-42e898b1a2,chamfer,-0.006035175935080458
urdf_fusion,dev_arm-42e898b1a2,hd95,-0.12049905049274791
urdf_fusion,dev_arm-42e898b1a2,voxel_iou,0.4035880176350181
urdf_fusion,dev_arm-43fa322555,graph_f1,-0.10795454545454541
urdf_fusion,dev_arm-43fa322555,joint_type,0.0625
urdf_fusion,dev_arm-43fa322555,axis,-45.0
urdf_fusion,dev_arm-43fa322555,origin,-0.1920476123448246
urdf_fusion,dev_arm-43fa322555,motion,-0.2417640135002744
urdf_fusion,dev_arm-43fa322555,chamfer,0.001424693609416123
urdf_fusion,dev_arm-43fa322555,hd95,0.04804903255331946
urdf_fusion,dev_arm-43fa322555,voxel_iou,-0.17816780821917805
urdf_fusion,dev_arm-4c7b408826,graph_f1,-0.13333333333333341
urdf_fusion,dev_arm-4c7b408826,joint_type,0.0
urdf_fusion,dev_arm-4c7b408826,axis,0.0
urdf_fusion,dev_arm-4c7b408826,origin,-0.24447991834787183
urdf_fusion,dev_arm-4c7b408826,motion,-0.2629467354680606
urdf_fusion,dev_arm-4c7b408826,chamfer,-0.0012485098121616668
urdf_fusion,dev_arm-4c7b408826,hd95,-0.032904480880912926
urdf_fusion,dev_arm-4c7b408826,voxel_iou,0.07022302591922847
urdf_fusion,dev_arm-551a9c392e,graph_f1,0.042307692307692324
urdf_fusion,dev_arm-551a9c392e,joint_type,0.14999999999999997
urdf_fusion,dev_arm-551a9c392e,axis,-90.0
urdf_fusion,dev_arm-551a9c392e,origin,-0.1618192369785822
urdf_fusion,dev_arm-551a9c392e,motion,-0.1150476969423137
urdf_fusion,dev_arm-551a9c392e,chamfer,9.2026142343674e-05
urdf_fusion,dev_arm-551a9c392e,hd95,0.005109661779454017
