axis,case_id,chamfer,condition,graph_f1,hd95,joint_type,motion,origin,status,voxel_iou
0.0,dev_arm-fdadfa8bdd,0.0011616422813744288,C,0.6666666666666666,0.06898017842160488,0.6666666666666666,0.009248623505148022,0.0,SUCCESS,0.5061349693251533
0.0,dev_arm-0573e1e127,0.0013131728791564532,D,0.6666666666666666,0.07673951729579657,0.6666666666666666,0.009020720005540439,0.0,SUCCESS,0.4273743016759777
0.0,dev_arm-07307859e2,0.0006545238540565628,D,0.8181818181818182,0.05861477620337066,0.8181818181818182,0.016794708021957455,0.0,SUCCESS,0.4767025089605735
0.0,dev_arm-10f5f05385,0.022298597227403703,D,0.8000000000000002,0.2932825706218989,0.8,0.05793814553193813,9.567037353975498e-15,SUCCESS,0.0028328611898017
0.0,dev_arm-21b8992ec4,0.0002502680738795922,D,0.6,0.030130317813890726,0.6,0.019772223743250807,0.0,SUCCESS,0.76
0.0,dev_arm-3ce41d3c31,0.0014688084957214858,D,0.6666666666666666,0.09421560765066532,0.6666666666666666,0.027173982216059607,0.0,SUCCESS,0.4036697247706422
0.0,dev_arm-42e898b1a2,0.0006361336339992946,D,1.0,0.05023351048392134,1.0,0.03778588989555967,0.0,SUCCESS,0.6255707762557078
0.0,dev_arm-43fa322555,0.0019946482274028603,D,0.4375,0.10130864065168205,0.4375,0.06191402239325297,0.0,SUCCESS,0.39375
0.0,dev_arm-4c7b408826,0.00171871139312012,D,0.6666666666666666,0.0860488718831284,0.6666666666666666,0.01926827331090308,0.0,SUCCESS,0.35714285714285715
0.0,dev_arm-551a9c392e,0.0025861194369617563,D,0.35,0.11960769280426682,0.35,0.09058768538334483,0.0,SUCCESS,0.3609022556390977
0.0,dev_arm-ab15a75247,0.006726286117540444,D,1.0,0.17972646143440973,1.0,0.09175748009040616,0.0,SUCCESS,0.13108614232209737
0.0,dev_arm-cb42051aad,0.007616143263686609,D,0.6666666666666666,0.16919917142489727,0.6666666666666666,0.08120318485989558,0.0,SUCCESS,0.03608247422680412
0.0,dev_arm-d55f01b988,0.00042502092437037974,D,0.75,0.040065819372660044,0.75,0.010928861575973477,0.0,SUCCESS,0.5955056179775281
0.0,dev_arm-dcc2b0ce1e,0.0005545354862850434,D,0.6666666666666666,0.05196663695741309,0.6666666666666666,0.021517847088730002,0.0,SUCCESS,0.625
0.0,dev_arm-f7b0b901d3,0.0017804702466589649,D,0.75,0.10048220133465698,0.75,0.02501966420506816,0.0,SUCCESS,0.4028776978417266
0.0,dev_arm-fdadfa8bdd,0.0011272859837467676,D,0.6666666666666666,0.06833115544229934,0.6666666666666666,0.005199290551945636,0.0,SUCCESS,0.4950166112956811
