condition,case_id,gt_link,pred_link,chamfer_mm2
C,dev_arm-42e898b1a2,meca_axis_5_link,L5,5.51635011908156e-05
C,dev_arm-42e898b1a2,meca_axis_6_link,L6,0.0001928814602881588
C,dev_arm-43fa322555,fr3_link0,L0,0.001488282847257143
C,dev_arm-43fa322555,fr3_link1,L2,0.0031304791638748198
C,dev_arm-43fa322555,fr3_link2,L4,0.003757612762785111
C,dev_arm-43fa322555,fr3_link3,L6,0.001261372884554232
C,dev_arm-43fa322555,fr3_link4,L8,0.014349860816221149
C,dev_arm-43fa322555,fr3_link5,L10,0.0075247474722893865
C,dev_arm-43fa322555,fr3_link6,L12,0.0005533872635595141
C,dev_arm-43fa322555,fr3_link7,L14,0.0004885572688338473
C,dev_arm-4c7b408826,base_link,L0,0.0021593407894996463
C,dev_arm-4c7b408826,link_1,L1,0.0030796298522502022
C,dev_arm-4c7b408826,link_2,L2,0.006170020525119789
C,dev_arm-4c7b408826,link_3,L3,0.003343720562549869
C,dev_arm-4c7b408826,link_4,L4,0.0015239842826666656
C,dev_arm-4c7b408826,link_5,L5,0.0004256896223684013
C,dev_arm-4c7b408826,link_6,L6,0.00011695142042585242
C,dev_arm-551a9c392e,pedestal,L2,0.20028495505497887
C,dev_arm-551a9c392e,right_arm_base_link,L5,0.00022859233348542933
C,dev_arm-551a9c392e,right_l0,L6,0.0009914625457453524
C,dev_arm-551a9c392e,head,L7,0.0011528092821095509
C,dev_arm-551a9c392e,right_l1,L9,0.000795250892135405
C,dev_arm-551a9c392e,right_l2,L10,0.011718578911623386
C,dev_arm-551a9c392e,right_l3,L11,0.0039788951768199455
C,dev_arm-551a9c392e,right_l4,L12,0.0003196463413861883
C,dev_arm-551a9c392e,right_l5,L14,0.0003460802963062412
C,dev_arm-551a9c392e,right_l6,L17,0.0004531029217867016
C,dev_arm-ab15a75247,base,L0,0.0008673541909077107
C,dev_arm-ab15a75247,link1,L1,0.0005442963597877246
C,dev_arm-ab15a75247,link2,L2,0.0035893371756849897
C,dev_arm-ab15a75247,link3,L3,0.004391445575881726
C,dev_arm-ab15a75247,link4,L4,0.0010445266579685918
C,dev_arm-cb42051aad,base_link,L0,0.008723549574415635
C,dev_arm-cb42051aad,link_1,L1,0.009998309916481915
C,dev_arm-cb42051aad,link_2,L2,0.02297494750235876
C,dev_arm-cb42051aad,link_3,L3,0.004961747855834911
C,dev_arm-cb42051aad,link_4,L4,0.02953486020943734
C,dev_arm-cb42051aad,link_5,L5,0.0013838689067078736
C,dev_arm-cb42051aad,link_6,L6,4.499489162545838e-05
C,dev_arm-d55f01b988,link1,L1,5.7726326926628614e-05
C,dev_arm-d55f01b988,link2,L2,0.00010728743362251476
C,dev_arm-d55f01b988,link3,L3,9.152467122999497e-05
C,dev_arm-d55f01b988,link4,L4,6.469475590809519e-05
C,dev_arm-d55f01b988,link5,L5,0.0006600853639373547
C,dev_arm-d55f01b988,gripper_link,L6,9.781315577609284e-05
C,dev_arm-d55f01b988,gripper_link_sub,L7,9.772113556566341e-05
C,dev_arm-dcc2b0ce1e,base_link,L0,0.0055910165651012495
C,dev_arm-dcc2b0ce1e,link_1,L1,0.006610634323316984
C,dev_arm-dcc2b0ce1e,link_2,L2,0.0008362179422681376
C,dev_arm-dcc2b0ce1e,link_3,L3,0.0009142237527221518
C,dev_arm-dcc2b0ce1e,link_4,L4,0.001540682962024437
C,dev_arm-dcc2b0ce1e,link_5,L5,0.00011105468620612047
C,dev_arm-dcc2b0ce1e,link_6,L6,0.0032970421244200086
C,dev_arm-f7b0b901d3,base_link,L0,0.003313172591487206
C,dev_arm-f7b0b901d3,link_1,L1,0.007693480328173184
C,dev_arm-f7b0b901d3,link_2,L2,0.0009944524541195476
C,dev_arm-f7b0b901d3,link_3,L3,0.003635335252331605
C,dev_arm-f7b0b901d3,link_4,L4,0.0036305357965320142
C,dev_arm-f7b0b901d3,link_5,L5,0.00044076820083166946
C,dev_arm-f7b0b901d3,link_6,L6,0.0014573683741967195
C,dev_arm-fdadfa8bdd,base_link,L0,0.0010351698442042276
C,dev_arm-fdadfa8bdd,link_1,L1,0.000915355385122403
C,dev_arm-fdadfa8bdd,link_2,L2,0.013245748852477923
C,dev_arm-fdadfa8bdd,link_3,L3,0.001199678992447039
C,dev_arm-fdadfa8bdd,link_4,L4,0.0026002096983968968
C,dev_arm-fdadfa8bdd,link_5,L5,0.001475977245477657
C,dev_arm-fdadfa8bdd,link_6,L6,0.0005887625386498831
D,dev_arm-0573e1e127,base_link,L0,0.000623386805772595
D,dev_arm-0573e1e127,link_1,L1,0.005747994872806211
D,dev_arm-0573e1e127,link_2,L2,0.015629504625568152
D,dev_arm-0573e1e127,link_3,L3,0.002795053924120285
D,dev_arm-0573e1e127,link_4,L4,0.002387707646994026
D,dev_arm-0573e1e127,link_5,L5,0.0003519948404305915
D,dev_arm-0573e1e127,link_6,L6,0.0004113813893840373
D,dev_arm-07307859e2,panda_link0,L0,0.0006021575937183212
D,dev_arm-07307859e2,panda_link1,L1,0.010489321924711945
D,dev_arm-07307859e2,panda_link2,L2,0.0004212346775614898
D,dev_arm-07307859e2,panda_link3,L3,0.0035016047159045598
D,dev_arm-07307859e2,panda_link4,L4,0.0023880770910625604
D,dev_arm-07307859e2,panda_link5,L5,0.013062838550014003
D,dev_arm-07307859e2,panda_link6,L6,0.0004953556416599616
D,dev_arm-07307859e2,panda_link7,L7,0.000988788476156253
D,dev_arm-07307859e2,panda_hand,L9,0.00045251320083605106
D,dev_arm-07307859e2,panda_leftfinger,L10,7.427299905465984e-05
D,dev_arm-07307859e2,panda_rightfinger,L11,8.18575969365536e-05
D,dev_arm-10f5f05385,base_link,L1,0.005974675855789595
D,dev_arm-10f5f05385,YAW,L2,0.00889990969568806
D,dev_arm-10f5f05385,BICEP,L3,0.022490858029622536
D,dev_arm-10f5f05385,FOREARM,L4,0.012974999796228733
D,dev_arm-10f5f05385,END-EFFECTOR,L5,2.289591000989324e-05
D,dev_arm-21b8992ec4,arm_podest_link,L1,0.0001842333943662817
D,dev_arm-21b8992ec4,arm_1_link,L3,0.0007826835649472855
D,dev_arm-21b8992ec4,arm_2_link,L4,0.0008297052322000277
D,dev_arm-21b8992ec4,arm_3_link,L5,0.002278398781639993
D,dev_arm-21b8992ec4,arm_4_link,L6,0.0006357386906100401
D,dev_arm-21b8992ec4,arm_5_link,L7,0.001436517598763226
D,dev_arm-21b8992ec4,arm_6_link,L8,0.0006863284667006192
D,dev_arm-21b8992ec4,arm_7_link,L9,0.0003038782570517916
D,dev_arm-3ce41d3c31,base_link,L0,0.0037222099559081636
D,dev_arm-3ce41d3c31,link_1,L1,0.0059503603188254
D,dev_arm-3ce41d3c31,link_2,L2,0.0021800263890218536
D,dev_arm-3ce41d3c31,link_3,L3,0.0038848570229849323
D,dev_arm-3ce41d3c31,link_4,L4,0.007730759093711096
D,dev_arm-3ce41d3c31,link_5,L5,0.0006868677991315371
D,dev_arm-3ce41d3c31,link_6,L6,0.0006469197966974078
D,dev_arm-42e898b1a2,meca_base_link,L0,8.020944826692884e-05
D,dev_arm-42e898b1a2,meca_axis_1_link,L1,0.00018894325071656284
D,dev_arm-42e898b1a2,meca_axis_2_link,L2,0.00027647651217169346
D,dev_arm-42e898b1a2,meca_axis_3_link,L3,0.00039972201923702314
D,dev_arm-42e898b1a2,meca_axis_4_link,L4,0.0008383461424365129
D,dev_arm-42e898b1a2,meca_axis_5_link,L5,0.00016068064099849377
D,dev_arm-42e898b1a2,meca_axis_6_link,L6,0.00024010625867385208
D,dev_arm-43fa322555,fr3_link0,L0,0.001471910489368454
D,dev_arm-43fa322555,fr3_link1,L2,0.007161566100917659
D,dev_arm-43fa322555,fr3_link2,L4,0.013013761338908154
D,dev_arm-43fa322555,fr3_link3,L6,0.00358960906663662
D,dev_arm-43fa322555,fr3_link4,L8,0.03302709232449817
D,dev_arm-43fa322555,fr3_link5,L10,0.012701871672992967
D,dev_arm-43fa322555,fr3_link6,L12,0.0009834673758085995
D,dev_arm-43fa322555,fr3_link7,L14,0.0004450474449163369
D,dev_arm-4c7b408826,base_link,L0,0.0019497678787548003
D,dev_arm-4c7b408826,link_1,L1,0.0045590202081373385
D,dev_arm-4c7b408826,link_2,L2,0.006351229134826318
D,dev_arm-4c7b408826,link_3,L3,0.003628223026855181
D,dev_arm-4c7b408826,link_4,L4,0.002442975708876671
D,dev_arm-4c7b408826,link_5,L5,0.0009130320352903326
D,dev_arm-4c7b408826,link_6,L6,0.0002469309253574618
D,dev_arm-551a9c392e,pedestal,L2,0.1947169207755714
D,dev_arm-551a9c392e,right_arm_base_link,L5,0.00022964104929894244
D,dev_arm-551a9c392e,right_l0,L6,0.002028310020684375
D,dev_arm-551a9c392e,head,L7,0.0018426919749058898
D,dev_arm-551a9c392e,right_l1,L9,0.0020751207089745455
D,dev_arm-551a9c392e,right_l2,L10,0.01185361659522801
D,dev_arm-551a9c392e,right_l3,L11,0.007813475631007635
D,dev_arm-551a9c392e,right_l4,L12,0.001220733440498716
D,dev_arm-551a9c392e,right_l5,L14,0.0006501992282516339
D,dev_arm-551a9c392e,right_l6,L17,0.0004504893340041229
D,dev_arm-ab15a75247,base,L0,0.0005993292695463823
D,dev_arm-ab15a75247,link1,L1,0.00043128159575544036
D,dev_arm-ab15a75247,link2,L2,0.003387551502356839
D,dev_arm-ab15a75247,link3,L3,0.004368360057895473
D,dev_arm-ab15a75247,link4,L4,0.0009586849000254955
D,dev_arm-cb42051aad,base_link,L0,0.007886219421551698
D,dev_arm-cb42051aad,link_1,L1,0.01027473747950272
D,dev_arm-cb42051aad,link_2,L2,0.021151999953830644
D,dev_arm-cb42051aad,link_3,L3,0.004795592345043967
D,dev_arm-cb42051aad,link_4,L4,0.02930230273861896
D,dev_arm-cb42051aad,link_5,L5,0.001272249821217446
D,dev_arm-cb42051aad,link_6,L6,5.383592180510695e-05
D,dev_arm-d55f01b988,link1,L1,4.810137693947239e-05
D,dev_arm-d55f01b988,link2,L2,0.00018293303721618687
D,dev_arm-d55f01b988,link3,L3,0.00017072975291642143
D,dev_arm-d55f01b988,link4,L4,0.00011328849434682578
D,dev_arm-d55f01b988,link5,L5,0.000725276335970978
D,dev_arm-d55f01b988,gripper_link,L6,0.00012564102520099367
D,dev_arm-d55f01b988,gripper_link_sub,L7,0.0001263547232114509
D,dev_arm-dcc2b0ce1e,base_link,L0,0.0027721441274408216
D,dev_arm-dcc2b0ce1e,link_1,L1,0.007080020289839509
D,dev_arm-dcc2b0ce1e,link_2,L2,0.0017901505112530485
D,dev_arm-dcc2b0ce1e,link_3,L3,0.0012491453934660817
D,dev_arm-dcc2b0ce1e,link_4,L4,0.002316013286421513
D,dev_arm-dcc2b0ce1e,link_5,L5,0.0007218947512988671
D,dev_arm-dcc2b0ce1e,link_6,L6,0.0038254047237722393
D,dev_arm-f7b0b901d3,base_link,L0,0.004122742368864902
D,dev_arm-f7b0b901d3,link_1,L1,0.019324632089247652
D,dev_arm-f7b0b901d3,link_2,L2,0.0009375407846803103
D,dev_arm-f7b0b901d3,link_3,L3,0.0019661627741347338
D,dev_arm-f7b0b901d3,link_4,L4,0.004338115087922704
D,dev_arm-f7b0b901d3,link_5,L5,0.0008930443467224228
D,dev_arm-f7b0b901d3,link_6,L6,0.001776647922126469
D,dev_arm-fdadfa8bdd,base_link,L0,0.0004973902343701136
D,dev_arm-fdadfa8bdd,link_1,L1,0.0015561524618540286
D,dev_arm-fdadfa8bdd,link_2,L2,0.014648202894258805
D,dev_arm-fdadfa8bdd,link_3,L3,0.001526610452488062
D,dev_arm-fdadfa8bdd,link_4,L4,0.003411961227484262
D,dev_arm-fdadfa8bdd,link_5,L5,0.001359153924373254
D,dev_arm-fdadfa8bdd,link_6,L6,0.000547362475646898
