axis_error_degrees_median,case_id,chamfer,error,failure_patterns,graph_f1,hd95,joint_type_accuracy,link_rotation_error_degrees_median,link_translation_error_normalized_median,mutation,origin_error_normalized_median,part_f1,simultaneous_success,status,voxel_iou
0.0,case_04_arm-dcc2b0ce1e,4.684800097278979e-05,,,1.0,0.012350915969844516,1.0,0.0,1.4664557100970052e-05,link_scale_pct_20,0.0,1.0,True,OK,1.0
0.0,case_05_arm-ab15a75247,0.0,,,1.0,0.0,1.0,0.0,0.0,identity,0.0,1.0,True,OK,1.0
0.0,case_05_arm-ab15a75247,0.0,,,1.0,0.0,1.0,0.0,0.0,axis_0,0.0,1.0,True,OK,1.0
5.000000000092464,case_05_arm-ab15a75247,0.0,,,1.0,0.0,1.0,4.5285262950594305,0.00030823488710655255,axis_5,0.0,1.0,True,OK,1.0
10.000000001987418,case_05_arm-ab15a75247,0.0,,wrong_joint_axis,1.0,0.0,1.0,9.080703287329815,0.0006158830316972506,axis_10,0.0,1.0,False,OK,1.0
0.0,case_05_arm-ab15a75247,0.0,,,1.0,0.0,1.0,0.0,0.0,origin_mm_0,0.0,1.0,True,OK,1.0
0.0,case_05_arm-ab15a75247,3.923444670345466e-05,,,1.0,0.009336427285404169,1.0,0.0,0.011912924192016758,origin_mm_5,0.011941036233435846,1.0,True,OK,0.8283582089552238
0.0,case_05_arm-ab15a75247,8.300010235637553e-05,,,1.0,0.014917200162945808,1.0,0.0,0.02363338050457738,origin_mm_10,0.02388207246687169,1.0,True,OK,0.7553956834532374
0.0,case_05_arm-ab15a75247,5.832405472001608e-05,,,1.0,0.013303378689903068,1.0,0.0,0.0004838476699379052,link_scale_pct_1,0.0,1.0,True,OK,0.9915966386554622
0.0,case_05_arm-ab15a75247,7.199204787189361e-05,,,1.0,0.014306980867641554,1.0,0.0,0.0024012849173668813,link_scale_pct_5,0.0,1.0,True,OK,0.970954356846473
0.0,case_05_arm-ab15a75247,4.728477468952024e-07,,,1.0,0.0011681856569251052,1.0,0.0,0.00033603326491051606,visual_translation_mm_1,0.0,1.0,True,OK,0.99581589958159
