case_id,version,link_id,gt_link_index,status,chamfer,hd95,hausdorff_max,voxel_iou
dev_arm-551a9c392e,V0,L2,2,SUCCESS,0.018625332351585016,0.2879623302881289,0.34787828683288663,0.0199203187250996
dev_arm-551a9c392e,V0,L3,3,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V0,L4,4,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V0,L5,5,SUCCESS,0.10744514282257661,0.35886892542319376,0.3712457208181348,0.0
dev_arm-551a9c392e,V0,L6,6,SUCCESS,0.07528605197098559,0.3399913161542931,0.36669750723904987,0.0
dev_arm-551a9c392e,V0,L7,7,SUCCESS,0.10186443726680945,0.3530916975988412,0.36848870462753797,0.0
dev_arm-551a9c392e,V0,L8,8,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V0,L9,9,SUCCESS,0.1169973829528722,0.3715931769390047,0.3908410035828063,0.0
dev_arm-551a9c392e,V0,L10,10,SUCCESS,0.03198597651189773,0.2681658334642871,0.288399470209855,0.0
dev_arm-551a9c392e,V0,L11,11,SUCCESS,0.032627305531695204,0.2117276221155682,0.2268865689938355,0.0
dev_arm-551a9c392e,V0,L12,12,SUCCESS,0.001805730792461208,0.10182472858806703,0.12104477850000978,0.2631578947368421
dev_arm-551a9c392e,V0,L13,13,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V0,L14,14,SUCCESS,0.001417562500929499,0.057531692077949295,0.06523234649542628,0.29411764705882354
dev_arm-551a9c392e,V0,L15,15,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V0,L16,16,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V0,L17,17,SUCCESS,0.008700071188218778,0.11460358577001306,0.1231537744215728,0.0
dev_arm-551a9c392e,V0,L18,18,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V0,L19,19,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V0,L20,20,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L0,0,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L1,1,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L2,2,SUCCESS,0.016094360235093065,0.2629507486055692,0.3332346325625316,0.03162055335968379
dev_arm-551a9c392e,V1,L3,3,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L4,4,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L5,5,SUCCESS,0.09894529613711013,0.36403605065415384,0.3784949409556724,0.0
dev_arm-551a9c392e,V1,L6,6,SUCCESS,0.08126577901163791,0.36201269342138565,0.3843393488508733,0.0
dev_arm-551a9c392e,V1,L7,7,SUCCESS,0.09264871862651111,0.3448622160838627,0.36093631660241804,0.0
dev_arm-551a9c392e,V1,L8,8,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V1,L9,9,SUCCESS,0.05802617566789414,0.2939702269757487,0.3128773998699122,0.0
dev_arm-551a9c392e,V1,L10,10,SUCCESS,0.0265714797850593,0.26318948728444713,0.2876183262339047,0.0
dev_arm-551a9c392e,V1,L11,11,SUCCESS,0.009055039438240107,0.1561486200599524,0.1721871307646455,0.0
dev_arm-551a9c392e,V1,L12,12,SUCCESS,0.002354165632067433,0.12078983341982141,0.13432329365112083,0.2571428571428571
