case_id,version,joint_id,gt_joint_name,sampled_gt,sampled_pred,local_chamfer,local_hd95,parent_surface_distance,child_surface_distance,interface_gap,disconnected
dev_arm-dcc2b0ce1e,V1,J5,joint_a6,178,466,0.00013142390051377792,0.02603537511774607,0.008724724848135525,0.006218312522276128,0.014943037370411652,0
dev_arm-dcc2b0ce1e,V1,J6,joint_a6-flange,178,466,0.00013142390051377792,0.02603537511774607,0.006229049270723941,0.005613755943981177,0.011842805214705118,0
dev_arm-dcc2b0ce1e,V1,J7,base_link-base,240,365,0.0010489115567174113,0.05741220579670947,0.011407131051608921,0.0255288324794955,0.03693596353110442,0
dev_arm-dcc2b0ce1e,V1,J8,flange-tool0,178,466,0.00013142390051377792,0.02603537511774607,0.0019962040186391745,0.012061276243273649,0.014057480261912824,0
dev_arm-dcc2b0ce1e,V2,J0,joint_a1,739,653,0.0004004796436270756,0.0443261770588393,0.03132797310457139,0.011922354564398389,0.043250327668969774,0
dev_arm-dcc2b0ce1e,V2,J1,joint_a2,780,591,0.0003503081523833672,0.04242031116185396,0.007122874510383547,0.018694497481174042,0.025817371991557588,0
dev_arm-dcc2b0ce1e,V2,J2,joint_a3,628,537,0.00039076167028158186,0.04078605549631233,0.009569870771113674,0.00361519501266958,0.013185065783783255,0
dev_arm-dcc2b0ce1e,V2,J3,joint_a4,620,551,0.0003847262633690871,0.040734132827230735,0.005147496274337739,0.028916095207036578,0.03406359148137432,0
dev_arm-dcc2b0ce1e,V2,J4,joint_a5,237,653,0.00014175021300148372,0.026482541781829294,0.007441016765143283,0.018013036985234016,0.0254540537503773,0
dev_arm-dcc2b0ce1e,V2,J5,joint_a6,178,540,0.00013338840395991399,0.027432232731795923,0.015441952643919808,0.011774210516927005,0.027216163160846813,0
dev_arm-dcc2b0ce1e,V2,J6,joint_a6-flange,178,540,0.00013338840395991399,0.027432232731795923,0.013630750486256987,0.007089612373990396,0.020720362860247383,0
dev_arm-dcc2b0ce1e,V2,J7,base_link-base,240,416,0.0006821244431929867,0.044351564112690825,0.03045728053542347,0.009065542807886205,0.03952282334330967,0
dev_arm-dcc2b0ce1e,V2,J8,flange-tool0,178,540,0.00013338840395991399,0.027432232731795923,0.006595057697059077,0.017075497059850973,0.023670554756910052,0
dev_arm-43fa322555,V0,J0,fr3_link0_sc_joint,307,290,0.0008070319128183555,0.052825168477952024,0.031653112761624747,0.060061193758436764,0.09171430652006152,0
dev_arm-43fa322555,V0,J1,fr3_link1_sc_joint,424,735,0.0006440262821046345,0.05017238764928976,0.014827359374991082,0.015487476305882607,0.03031483568087369,0
dev_arm-43fa322555,V0,J2,fr3_joint1,424,735,0.0006440262821046345,0.05017238764928976,0.013979479632376167,0.015183934971453589,0.029163414603829756,0
dev_arm-43fa322555,V0,J3,fr3_link2_sc_joint,424,735,0.0006440262821046345,0.05017238764928976,0.014196327309960738,0.005027288631033956,0.019223615940994695,0
dev_arm-43fa322555,V0,J4,fr3_joint2,424,735,0.0006440262821046345,0.05017238764928976,0.014884505796059787,0.017641782681236166,0.03252628847729595,0
dev_arm-43fa322555,V0,J5,fr3_link3_sc_joint,465,397,0.0010830845416431192,0.06442459994437068,0.044431227224438895,0.044335323428334225,0.08876655065277311,0
dev_arm-43fa322555,V0,J6,fr3_joint3,465,397,0.0010830845416431192,0.06442459994437068,0.24890683592561608,0.04431187807524074,0.2932187140008568,1
dev_arm-43fa322555,V0,J7,fr3_link4_sc_joint,600,383,0.0006766251061309343,0.052021433920960036,0.003434859715328263,0.03669141411246851,0.04012627382779677,0
dev_arm-43fa322555,V0,J8,fr3_joint4,600,383,0.0006766251061309343,0.052021433920960036,0.0934281388197432,0.005007913762489024,0.09843605258223222,1
dev_arm-43fa322555,V0,J9,fr3_link5_sc_joint,480,99,0.00266855452785296,0.1092592853676481,0.11780448690361654,0.11780671269460011,0.23561119959821664,1
dev_arm-43fa322555,V0,J10,fr3_joint5,480,99,0.00266855452785296,0.1092592853676481,0.26107328382242845,0.11782086128137725,0.3788941451038057,1
dev_arm-43fa322555,V0,J11,fr3_link6_sc_joint,480,99,0.00266855452785296,0.1092592853676481,0.04995084775344817,0.08660241294048597,0.13655326069393414,1
dev_arm-43fa322555,V0,J12,fr3_joint6,480,99,0.00266855452785296,0.1092592853676481,0.11781180107670397,0.0499692584070484,0.16778105948375238,1
dev_arm-43fa322555,V0,J13,fr3_link7_sc_joint,527,4,0.005289592174653059,0.1374984754061671,0.11164357076601955,0.1029310970607423,0.21457466782676185,1
dev_arm-43fa322555,V0,J14,fr3_joint7,527,4,0.005289592174653059,0.1374984754061671,0.09657932084820808,0.11195356661128884,0.20853288745949694,1
dev_arm-43fa322555,V0,J15,fr3_joint8,352,38,0.005349391396016103,0.14969357701418967,0.08991246815690418,0.09058549261465408,0.18049796077155827,1
dev_arm-43fa322555,V1,J0,fr3_link0_sc_joint,307,382,0.0003171506804138096,0.035173346064543184,0.026284727323682405,0.005856735939301106,0.03214146326298351,0
dev_arm-43fa322555,V1,J1,fr3_link1_sc_joint,424,682,0.0003379275535696418,0.033887461009247825,0.00695074130371138,0.007265730904589116,0.014216472208300496,0
dev_arm-43fa322555,V1,J2,fr3_joint1,424,682,0.0003379275535696418,0.033887461009247825,0.02977905828661613,0.007214638621142264,0.036993696907758396,0
dev_arm-43fa322555,V1,J3,fr3_link2_sc_joint,424,682,0.0003379275535696418,0.033887461009247825,0.00913130665835271,0.006238245722214284,0.015369552380566993,0
dev_arm-43fa322555,V1,J4,fr3_joint2,424,682,0.0003379275535696418,0.033887461009247825,0.007026215387096577,0.009046185682002338,0.016072401069098914,0
dev_arm-43fa322555,V1,J5,fr3_link3_sc_joint,465,576,0.0004240826356534111,0.04051068264187112,0.009046037769108504,0.011138760974581413,0.02018479874368992,0
dev_arm-43fa322555,V1,J6,fr3_joint3,465,576,0.0004240826356534111,0.04051068264187112,0.010563924316030758,0.007899185595925708,0.018463109911956467,0
dev_arm-43fa322555,V1,J7,fr3_link4_sc_joint,600,444,0.0007216355397290193,0.05536545868673177,0.012002699591591372,0.008437676189933192,0.020440375781524564,0
dev_arm-43fa322555,V1,J8,fr3_joint4,600,444,0.0007216355397290193,0.05536545868673177,0.01064147343793615,0.006704557679559706,0.017346031117495855,0
dev_arm-43fa322555,V1,J9,fr3_link5_sc_joint,480,793,0.0004829343117198685,0.048155744656249014,0.014012998673619628,0.01370864038077682,0.027721639054396445,0
dev_arm-43fa322555,V1,J10,fr3_joint5,480,793,0.0004829343117198685,0.048155744656249014,0.017314737472447925,0.013858266505409942,0.03117300397785787,0
dev_arm-43fa322555,V1,J11,fr3_link6_sc_joint,480,793,0.0004829343117198685,0.048155744656249014,0.011644943594777659,0.011053248593280838,0.0226981921880585,0
dev_arm-43fa322555,V1,J12,fr3_joint6,480,793,0.0004829343117198685,0.048155744656249014,0.013841272242682145,0.0118048843026915,0.025646156545373645,0
dev_arm-43fa322555,V1,J13,fr3_link7_sc_joint,527,544,0.0003135931436984075,0.02951549945992335,0.004265523215671615,0.00833373947845105,0.012599262694122666,0
dev_arm-43fa322555,V1,J14,fr3_joint7,527,544,0.0003135931436984075,0.02951549945992335,0.0161315135212422,0.005692296432380342,0.02182380995362254,0
dev_arm-43fa322555,V1,J15,fr3_joint8,352,363,0.0004871300809408083,0.04430076290183237,0.015940931354143713,0.00852715098227607,0.024468082336419783,0
dev_arm-43fa322555,V2,J0,fr3_link0_sc_joint,307,377,0.00026795746456201904,0.03209724684211573,0.02222994528259353,0.010513055245385325,0.032743000527978856,0
dev_arm-43fa322555,V2,J1,fr3_link1_sc_joint,424,717,0.0003339112408087847,0.03353824942664583,0.007341791539825625,0.007686077370242188,0.015027868910067813,0
dev_arm-43fa322555,V2,J2,fr3_joint1,424,717,0.0003339112408087847,0.03353824942664583,0.0316203949703476,0.00885000564335989,0.04047040061370749,0
dev_arm-43fa322555,V2,J3,fr3_link2_sc_joint,424,717,0.0003339112408087847,0.03353824942664583,0.012244032176275354,0.0023399115865377074,0.014583943762813061,0
dev_arm-43fa322555,V2,J4,fr3_joint2,424,717,0.0003339112408087847,0.03353824942664583,0.008624110059397717,0.011207701812430249,0.019831811871827965,0
dev_arm-43fa322555,V2,J5,fr3_link3_sc_joint,465,549,0.0003953097895873088,0.03928283608550629,0.006585394541662935,0.005860611941774371,0.012446006483437307,0
dev_arm-43fa322555,V2,J6,fr3_joint3,465,549,0.0003953097895873088,0.03928283608550629,0.01019579695793458,0.00655015000805323,0.01674594696598781,0
dev_arm-43fa322555,V2,J7,fr3_link4_sc_joint,600,437,0.000611768906752923,0.051382837990221454,0.011397108720635322,0.002190312643621251,0.013587421364256573,0
dev_arm-43fa322555,V2,J8,fr3_joint4,600,437,0.000611768906752923,0.051382837990221454,0.004584376282095297,0.013105399390419782,0.01768977567251508,0
dev_arm-43fa322555,V2,J9,fr3_link5_sc_joint,480,851,0.00043665145754816746,0.04478915831904793,0.0033160167013761206,0.0021785219394754086,0.005494538640851529,0
dev_arm-43fa322555,V2,J10,fr3_joint5,480,851,0.00043665145754816746,0.04478915831904793,0.024443412747549104,0.002322485919698506,0.02676589866724761,0
dev_arm-43fa322555,V2,J11,fr3_link6_sc_joint,480,851,0.00043665145754816746,0.04478915831904793,0.0046899548381292774,0.004917467237320049,0.009607422075449326,0
dev_arm-43fa322555,V2,J12,fr3_joint6,480,851,0.00043665145754816746,0.04478915831904793,0.002318622132402437,0.0044609529020738,0.006779575034476237,0
dev_arm-43fa322555,V2,J13,fr3_link7_sc_joint,527,630,0.0002551929807675205,0.025740583276122102,0.008459001969742927,0.01409122150045825,0.022550223470201178,0
dev_arm-43fa322555,V2,J14,fr3_joint7,527,630,0.0002551929807675205,0.025740583276122102,0.005583235513321902,0.0073690510742803455,0.012952286587602248,0
dev_arm-43fa322555,V2,J15,fr3_joint8,352,379,0.00040720517709166165,0.04177390160566022,0.007851500371688573,0.01367863188284954,0.021530132254538113,0
dev_arm-551a9c392e,V0,J0,controller_box_fixed,343,59,0.003729102733240341,0.1254888946476346,0.286857052938366,0.32046237784513504,0.607319430783501,1
dev_arm-551a9c392e,V0,J1,pedestal_feet_fixed,343,59,0.003729102733240341,0.1254888946476346,0.2867323526699605,0.31925995344291114,0.6059923061128716,1
dev_arm-551a9c392e,V0,J2,torso_t0,343,59,0.003729102733240341,0.1254888946476346,0.28689450256836474,0.31975265934839986,0.6066471619167646,1
dev_arm-551a9c392e,V0,J3,pedestal_fixed,343,59,0.003729102733240341,0.1254888946476346,0.28670595380182645,0.31939988663235735,0.6061058404341838,1
dev_arm-551a9c392e,V0,J4,right_arm_mount,343,59,0.003729102733240341,0.1254888946476346,0.2871758960766377,0.3067263053236243,0.593902201400262,1
dev_arm-551a9c392e,V0,J5,right_j0,348,12,0.00461192170640919,0.14020048212955072,0.34066710801825933,0.2062329460201013,0.5469000540383606,1
dev_arm-551a9c392e,V0,J6,head_pan,309,0,,,0.30974928739481433,0.2945045678064019,0.6042538552012162,1
