case_id,link_id,view,crop_kind,crop_path,bbox_px,localization_method,gt_geometry_used
dev_arm-4c7b408826,L3,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L3\isometric_link_crop.png,"[96, 3, 196, 325]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L3,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L3\isometric_proximal_joint_crop.png,"[87, 0, 187, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L3,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L3\isometric_distal_joint_crop.png,"[105, 17, 205, 339]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L4,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L4\front_link_crop.png,"[108, 81, 220, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L4,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L4\front_proximal_joint_crop.png,"[99, 81, 199, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L4,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L4\front_distal_joint_crop.png,"[129, 81, 229, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L4,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L4\isometric_link_crop.png,"[114, 31, 214, 353]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L4,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L4\isometric_proximal_joint_crop.png,"[105, 17, 205, 339]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L4,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L4\isometric_distal_joint_crop.png,"[123, 46, 223, 368]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L5,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L5\front_link_crop.png,"[139, 81, 251, 312]",silhouette_bbox_plus_urdf_link_order,False
