entity_id,manufacturer,name,source,is_audit30,ratio,feature_ok,failures,n_meshes,n_failed,faces,normal_spectral_entropy,curvature_entropy,dihedral_q90_deg,sharp_rate_30deg,complexity_score
arm-cb42051aad,Fanuc,LR Mate 200iC,ros-industrial,False,0.25,True,[],7,0,5810,0.9283139099514848,0.2760990772453993,20.09038020094656,0.06530843701434108,-0.35861650005016843
arm-de1be0b74e,Fanuc,LR Mate 200iC/5F,ros-industrial,True,1.0,True,[],6,0,13046,0.9083617675037776,0.07532498560833126,9.32508825883944,0.01398382745636627,-0.8580172598215078
arm-de1be0b74e,Fanuc,LR Mate 200iC/5F,ros-industrial,True,0.5,True,[],6,0,6910,0.9083718116838672,0.24596607909196297,17.24321895254954,0.040006149752373384,-0.5824797823364112
arm-de1be0b74e,Fanuc,LR Mate 200iC/5F,ros-industrial,True,0.25,True,[],6,0,3986,0.908432388895725,0.30964585071282885,22.450713787509695,0.0737407121069914,-0.42511385191586265
arm-53f9b9bc6b,Fanuc,LR Mate 200iC/5H,ros-industrial,False,1.0,True,[],6,0,13046,0.9083617675037776,0.07532498560833126,9.32508825883944,0.01398382745636627,-0.8580172598215078
arm-53f9b9bc6b,Fanuc,LR Mate 200iC/5H,ros-industrial,False,0.5,True,[],6,0,6910,0.9083718116838672,0.24596607909196297,17.24321895254954,0.040006149752373384,-0.5824797823364112
arm-53f9b9bc6b,Fanuc,LR Mate 200iC/5H,ros-industrial,False,0.25,True,[],6,0,3986,0.908432388895725,0.30964585071282885,22.450713787509695,0.0737407121069914,-0.42511385191586265
arm-63ba00c5ba,Fanuc,LR Mate 200iC/5HS,ros-industrial,False,1.0,True,[],6,0,13046,0.9083617675037776,0.07532498560833126,9.32508825883944,0.01398382745636627,-0.8580172598215078
arm-63ba00c5ba,Fanuc,LR Mate 200iC/5HS,ros-industrial,False,0.5,True,[],6,0,6910,0.9083718116838672,0.24596607909196297,17.24321895254954,0.040006149752373384,-0.5824797823364112
arm-63ba00c5ba,Fanuc,LR Mate 200iC/5HS,ros-industrial,False,0.25,True,[],6,0,3986,0.908432388895725,0.30964585071282885,22.450713787509695,0.0737407121069914,-0.42511385191586265
arm-697cb5dd8b,Fanuc,LR Mate 200iC/5L,ros-industrial,False,1.0,True,[],7,0,12600,0.9093747906550693,0.11930894247814536,10.932013454119382,0.014968605765203648,-0.7927120769434912
arm-697cb5dd8b,Fanuc,LR Mate 200iC/5L,ros-industrial,False,0.5,True,[],7,0,6686,0.9093617247823131,0.27387987839861067,19.124620079920373,0.04866989714529232,-0.5200573739059164
arm-697cb5dd8b,Fanuc,LR Mate 200iC/5L,ros-industrial,False,0.25,True,[],7,0,3876,0.9093348538137425,0.349404712067393,26.417460404677318,0.09458819933710956,-0.3177712801356079
arm-927835d1e3,Fanuc,LR Mate 200iD,ros-industrial,False,1.0,True,[],7,0,25085,0.9257160844826633,0.05062911510379655,7.781323051510455,0.013600215603206074,-0.7799205990176115
arm-927835d1e3,Fanuc,LR Mate 200iD,ros-industrial,False,0.5,True,[],7,0,13140,0.9253769616844852,0.21821800351917175,15.579744979531254,0.04314524103313513,-0.5044753727223397
arm-927835d1e3,Fanuc,LR Mate 200iD,ros-industrial,False,0.25,True,[],7,0,8536,0.9251905089151213,0.28252446649637597,22.587236198591587,0.0718028324174771,-0.34745755915985893
arm-81ab4eaee7,Fanuc,LR Mate 200iD/4S,ros-industrial,False,1.0,True,[],7,0,14627,0.9428640084409513,0.14568668785043234,11.421485327203829,0.011558811328459345,-0.5468698938614569
arm-81ab4eaee7,Fanuc,LR Mate 200iD/4S,ros-industrial,False,0.5,True,[],7,0,7310,0.9428757594609325,0.2800032919317823,18.694039749933953,0.04959007124861954,-0.29359508541438595
arm-81ab4eaee7,Fanuc,LR Mate 200iD/4S,ros-industrial,False,0.25,True,[],7,0,4098,0.9431419112209664,0.3711686854444898,27.58633597448024,0.08728999677509329,-0.07816529068307523
arm-417b7c6e76,Fanuc,LR Mate 200iD/4SC,ros-industrial,False,1.0,True,[],7,0,14627,0.9428640084409513,0.14568668785043234,11.421485327203829,0.011558811328459345,-0.5468698938614569
arm-417b7c6e76,Fanuc,LR Mate 200iD/4SC,ros-industrial,False,0.5,True,[],7,0,7310,0.9428757594609325,0.2800032919317823,18.694039749933953,0.04959007124861954,-0.29359508541438595
arm-417b7c6e76,Fanuc,LR Mate 200iD/4SC,ros-industrial,False,0.25,True,[],7,0,4098,0.9431419112209664,0.3711686854444898,27.58633597448024,0.08728999677509329,-0.07816529068307523
arm-ed32f9fe54,Fanuc,LR Mate 200iD/4SH,ros-industrial,False,1.0,True,[],7,0,14627,0.9428640084409513,0.14568668785043234,11.421485327203829,0.011558811328459345,-0.5468698938614569
