candidate_id,seed_id,coordinate,direction,base_id,g_sum_mm3,g_max_mm3,strict_feasible,status
L2_1_N,S209,housing_height_mm,-1,L2_0_N,688.406013615644,122.42301009854211,False,EVALUATED
L2_1_P,S209,housing_height_mm,1,L2_0_N,780.0331163040503,120.70465821906545,False,EVALUATED
L2_2_N,S209,proximal_section_length_mm,-1,L2_1_P,775.4765565877151,120.70465821906545,False,EVALUATED
L2_2_P,S209,proximal_section_length_mm,1,L2_1_P,784.6767881301874,121.45977626803315,False,EVALUATED
L2_3_N,S209,transition_length_mm,-1,L2_2_N,752.8671684351064,120.70465821906545,False,EVALUATED
L2_3_P,S209,transition_length_mm,1,L2_2_N,794.2025061743255,123.42354860877467,False,EVALUATED
L2_4_N,S209,distal_width_mm,-1,L2_3_N,683.668897678841,120.70465821906545,False,EVALUATED
L2_4_P,S209,distal_width_mm,1,L2_3_N,829.0862052957059,134.88218959642086,False,EVALUATED
L2_5_N,S209,distal_height_mm,-1,L2_4_N,651.2773345618142,120.70465821906545,False,EVALUATED
L2_5_P,S209,distal_height_mm,1,L2_4_N,772.6687798291058,120.70465821906545,False,EVALUATED
L3_0_N,S006,housing_width_mm,-1,S006,701.2704673745911,144.04853400785447,False,EVALUATED
L3_0_P,S006,housing_width_mm,1,S006,736.3800897642329,140.4796344449741,False,EVALUATED
L3_1_N,S006,housing_height_mm,-1,L3_0_P,697.165598664655,142.2044340634538,False,EVALUATED
L3_1_P,S006,housing_height_mm,1,L3_0_P,779.2423540657423,138.83738131587202,False,EVALUATED
L3_2_N,S006,proximal_section_length_mm,-1,L3_1_P,776.8298661926261,138.32148941583517,False,EVALUATED
L3_2_P,S006,proximal_section_length_mm,1,L3_1_P,781.7336804549197,139.39375308946677,False,EVALUATED
L3_3_N,S006,transition_length_mm,-1,L3_2_N,756.6602979428354,134.13018463569338,False,EVALUATED
L3_3_P,S006,transition_length_mm,1,L3_2_N,790.1815436691229,141.48923283324842,False,EVALUATED
L3_4_N,S006,distal_width_mm,-1,L3_3_N,695.1190206151423,120.17723613747327,False,EVALUATED
L3_4_P,S006,distal_width_mm,1,L3_3_N,892.2815744961564,167.01424054000674,False,EVALUATED
L3_5_N,S006,distal_height_mm,-1,L3_4_N,615.6958073374338,116.67040862453133,False,EVALUATED
L3_5_P,S006,distal_height_mm,1,L3_4_N,813.9491542426055,149.89515091305614,False,EVALUATED
L4_0_N,S084,housing_width_mm,-1,S084,755.3967724916985,153.41094059024886,False,EVALUATED
L4_0_P,S084,housing_width_mm,1,S084,757.1091171038416,153.41094059024886,False,EVALUATED
L4_1_N,S084,housing_height_mm,-1,L4_0_N,709.5825298076569,122.85962905415211,False,EVALUATED
L4_1_P,S084,housing_height_mm,1,L4_0_N,794.1905217724834,170.9700516784007,False,EVALUATED
L4_2_N,S084,proximal_section_length_mm,-1,L4_1_N,704.9997986748782,121.71394626291467,False,EVALUATED
L4_2_P,S084,proximal_section_length_mm,1,L4_1_N,714.0668870307791,123.98071834850295,False,EVALUATED
L4_3_N,S084,transition_length_mm,-1,L4_2_N,690.3864653964433,118.06061293678275,False,EVALUATED
L4_3_P,S084,transition_length_mm,1,L4_2_N,717.2994924162723,124.78886969185127,False,EVALUATED
L4_4_N,S084,distal_width_mm,-1,L4_3_N,621.2071350748532,109.34945289620184,False,EVALUATED
L4_4_P,S084,distal_width_mm,1,L4_3_N,763.0614226017908,136.22935227890918,False,EVALUATED
L4_5_N,S084,distal_height_mm,-1,L4_4_N,608.262567802684,109.34945289620184,False,EVALUATED
L4_5_P,S084,distal_height_mm,1,L4_4_N,695.785760400058,119.41043671178751,False,EVALUATED
