entity_id,manufacturer,name,v3_split,face_budget,approximation_ok,original_faces,target_faces,achieved_faces,mesh_count,failure_count,failures,normalized_chamfer,normalized_hausdorff,normal_error,p_normalized_chamfer,p_normalized_hausdorff,p_normal_error,budget_difficulty
arm-91f018718c,ABB,IRB 52-7/1.45,development,10000,True,26848,10000,10128,7,0,[],0.0243860875579616,0.0739134707729492,0.2003563554550953,0.825,0.75,0.9,0.8250000000000001
arm-065970a45f,ABB,IRB 5400,development,1000,True,89613,1000,27015,8,0,[],0.0236946861927155,0.0801984819508854,0.2202029469173566,0.2625,0.4875,0.8125,0.5208333333333334
arm-065970a45f,ABB,IRB 5400,development,5000,True,89613,5000,27073,8,0,[],0.0241357252127339,0.0796697737514215,0.2194392307812372,0.6625,0.7625,0.8875,0.7708333333333334
arm-065970a45f,ABB,IRB 5400,development,10000,True,89613,10000,27153,8,0,[],0.0239099849001026,0.0783750499790921,0.2285005848244529,0.7125,0.85,0.975,0.8458333333333333
arm-6af92e32a6,ABB,IRB 6600-255/2.55,development,1000,True,22783,1000,1042,9,0,[],0.0337203620096236,0.1331822159023557,0.2667262437368625,0.825,0.8625,0.9375,0.875
arm-6af92e32a6,ABB,IRB 6600-255/2.55,development,5000,True,22783,5000,4994,9,0,[],0.024572063761067,0.0843280539544815,0.2324010478436926,0.725,0.8,0.95,0.8249999999999998
arm-6af92e32a6,ABB,IRB 6600-255/2.55,development,10000,True,22783,10000,9992,9,0,[],0.0233183167184614,0.0718356781111456,0.2257543505117614,0.6,0.6875,0.9625,0.75
arm-022ef09303,ABB,IRB 7600-150/3.50,validation,1000,True,29816,1000,1134,9,0,[],0.0317608763554365,0.1142522197791733,0.2627618434942955,0.75,0.7,0.925,0.7916666666666666
arm-022ef09303,ABB,IRB 7600-150/3.50,validation,5000,True,29816,5000,4988,9,0,[],0.0213919836430361,0.0586939819589992,0.2040815503669537,0.2875,0.15,0.875,0.4375
arm-022ef09303,ABB,IRB 7600-150/3.50,validation,10000,True,29816,10000,9990,9,0,[],0.0212514810790109,0.0615893717016557,0.1998741654241312,0.3375,0.275,0.875,0.49583333333333335
arm-19acb3833f,Fanuc,CR-35iA,development,1000,True,54884,1000,5978,7,0,[],0.0242682086445782,0.0723911997230638,0.0486128962794805,0.3,0.275,0.1875,0.25416666666666665
arm-19acb3833f,Fanuc,CR-35iA,development,5000,True,54884,5000,6690,7,0,[],0.0236497123810774,0.0769351880206369,0.0413934087727519,0.575,0.7125,0.225,0.5041666666666668
arm-19acb3833f,Fanuc,CR-35iA,development,10000,True,54884,10000,10730,7,0,[],0.0238393375541081,0.0688939268394891,0.0371983780900467,0.6875,0.5,0.2625,0.48333333333333334
arm-8802f2b8b4,Fanuc,CR-7iA,development,1000,True,1819,1000,993,7,0,[],0.0246038471363405,0.0755589138411484,0.0439952471314983,0.3375,0.3875,0.15,0.2916666666666667
arm-8802f2b8b4,Fanuc,CR-7iA,development,5000,True,1819,5000,1819,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-8802f2b8b4,Fanuc,CR-7iA,development,10000,True,1819,10000,1819,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-3acdb3f5e2,Fanuc,CR-7iA/L,development,1000,True,1837,1000,995,7,0,[],0.023437736806867,0.0757473292588822,0.049272522436038,0.25,0.4,0.2,0.2833333333333334
arm-3acdb3f5e2,Fanuc,CR-7iA/L,development,5000,True,1837,5000,1837,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-3acdb3f5e2,Fanuc,CR-7iA/L,development,10000,True,1837,10000,1837,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-98c28568ba,Fanuc,CRX-10iA/L,development,1000,True,24482,1000,1174,7,0,[],0.0275397811043678,0.0829845485194021,0.0761497243856489,0.6,0.525,0.2875,0.4708333333333334
arm-98c28568ba,Fanuc,CRX-10iA/L,development,5000,True,24482,5000,4992,7,0,[],0.0213232567625367,0.065816161935562,0.0430761834800094,0.2875,0.3375,0.2625,0.29583333333333334
arm-98c28568ba,Fanuc,CRX-10iA/L,development,10000,True,24482,10000,9992,7,0,[],0.0210028754842773,0.0638741511395866,0.0398641589479225,0.325,0.3625,0.2875,0.325
arm-cf88bb5d3f,Fanuc,LR Mate 200i,development,1000,True,4277,1000,993,7,0,[],0.0273789072136069,0.0851418211354817,0.0474571481745028,0.5875,0.5375,0.175,0.43333333333333335
arm-cf88bb5d3f,Fanuc,LR Mate 200i,development,5000,True,4277,5000,4277,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-cf88bb5d3f,Fanuc,LR Mate 200i,development,10000,True,4277,10000,4277,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-fa86494fa0,Fanuc,LR Mate 200iB,development,1000,True,25209,1000,12168,7,0,[],0.0252342544058809,0.0732906057255905,0.0389045455132507,0.4125,0.325,0.0125,0.25
arm-fa86494fa0,Fanuc,LR Mate 200iB,development,5000,True,25209,5000,12356,7,0,[],0.0255588019226264,0.0715624246221388,0.0402400006351061,0.8625,0.6,0.2,0.5541666666666666
arm-fa86494fa0,Fanuc,LR Mate 200iB,development,10000,True,25209,10000,13130,7,0,[],0.0253072822683681,0.0753953598384329,0.032287851866211,0.925,0.7875,0.2375,0.65
arm-4c7b408826,Fanuc,LR Mate 200iB/3L,development,1000,True,25109,1000,11586,7,0,[],0.0251930132080414,0.0739876665498305,0.0419699850192442,0.3875,0.3625,0.075,0.27499999999999997
arm-4c7b408826,Fanuc,LR Mate 200iB/3L,development,5000,True,25109,5000,11776,7,0,[],0.0247842945430571,0.0772830959829103,0.0425288007610577,0.775,0.725,0.25,0.5833333333333334
arm-4c7b408826,Fanuc,LR Mate 200iB/3L,development,10000,True,25109,10000,12612,7,0,[],0.0248002488839846,0.0700707900308977,0.0424942131271189,0.85,0.5625,0.3375,0.5833333333333334
arm-cb42051aad,Fanuc,LR Mate 200iC,development,1000,True,20341,1000,4582,7,0,[],0.0263186718736818,0.0774196441687283,0.0569166072974285,0.5375,0.45,0.2375,0.4083333333333334
arm-cb42051aad,Fanuc,LR Mate 200iC,development,5000,True,20341,5000,5728,7,0,[],0.0255367453122435,0.0709157456605543,0.0453014644216898,0.8375,0.575,0.275,0.5625
arm-cb42051aad,Fanuc,LR Mate 200iC,development,10000,True,20341,10000,10396,7,0,[],0.0259876949814918,0.0747783728368917,0.0398278619021133,0.975,0.775,0.275,0.6749999999999999
arm-de1be0b74e,Fanuc,LR Mate 200iC/5F,development,1000,True,13046,1000,3046,6,0,[],0.0255772305415082,0.0770337538022455,0.0725283838635752,0.475,0.4375,0.2625,0.39166666666666666
arm-de1be0b74e,Fanuc,LR Mate 200iC/5F,development,5000,True,13046,5000,5544,6,0,[],0.0238566954490461,0.0680835448164507,0.0418482557628642,0.6,0.5125,0.2375,0.44999999999999996
arm-de1be0b74e,Fanuc,LR Mate 200iC/5F,development,10000,True,13046,10000,10026,6,0,[],0.0242229774131005,0.0720493058310952,0.0440431482673565,0.7875,0.7125,0.35,0.6166666666666667
arm-53f9b9bc6b,Fanuc,LR Mate 200iC/5H,development,1000,True,13046,1000,3046,6,0,[],0.0256810600939667,0.0780785804809511,0.0728413657458497,0.4875,0.4625,0.275,0.4083333333333334
arm-53f9b9bc6b,Fanuc,LR Mate 200iC/5H,development,5000,True,13046,5000,5544,6,0,[],0.0240502302604112,0.0747953993089179,0.046078877118719,0.6375,0.675,0.2875,0.5333333333333333
arm-53f9b9bc6b,Fanuc,LR Mate 200iC/5H,development,10000,True,13046,10000,10026,6,0,[],0.0240399749493102,0.070952579848974,0.0402636025481617,0.7375,0.65,0.3,0.5625000000000001
arm-63ba00c5ba,Fanuc,LR Mate 200iC/5HS,development,1000,True,13046,1000,3046,6,0,[],0.0257130167242549,0.0790234066875524,0.0679419425933778,0.5,0.475,0.25,0.4083333333333334
arm-63ba00c5ba,Fanuc,LR Mate 200iC/5HS,development,5000,True,13046,5000,5544,6,0,[],0.0247225805243772,0.0755543773105087,0.0516432239973401,0.7625,0.7,0.3125,0.5916666666666667
arm-63ba00c5ba,Fanuc,LR Mate 200iC/5HS,development,10000,True,13046,10000,10026,6,0,[],0.0240834526766845,0.0709308437043197,0.0421286200016114,0.75,0.6375,0.325,0.5708333333333333
arm-697cb5dd8b,Fanuc,LR Mate 200iC/5L,development,1000,True,12600,1000,2909,7,0,[],0.0281312759396028,0.0906259085336887,0.0947104586017533,0.65,0.5875,0.3,0.5125000000000001
arm-697cb5dd8b,Fanuc,LR Mate 200iC/5L,development,5000,True,12600,5000,5524,7,0,[],0.0241429837797598,0.0779081619067828,0.0481915709535515,0.7,0.7375,0.3,0.5791666666666667
arm-697cb5dd8b,Fanuc,LR Mate 200iC/5L,development,10000,True,12600,10000,9994,7,0,[],0.0241461949223028,0.0719465989176621,0.0452959856823122,0.775,0.7,0.3625,0.6125
arm-b9fde37ad7,Fanuc,M-16iB,development,1000,True,3055,1000,994,7,0,[],0.0224419794252787,0.0636960435449331,0.040818697823502,0.175,0.1,0.0375,0.10416666666666667
arm-b9fde37ad7,Fanuc,M-16iB,development,5000,True,3055,5000,3055,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-b9fde37ad7,Fanuc,M-16iB,development,10000,True,3055,10000,3055,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-ca973d7c40,Fanuc,M-20iA,development,1000,True,12035,1000,3927,7,0,[],0.022349474365154,0.0638385048727257,0.0467526826821991,0.15,0.1125,0.1625,0.1416666666666667
arm-ca973d7c40,Fanuc,M-20iA,development,5000,True,12035,5000,5129,7,0,[],0.0219403109141219,0.062774983644657,0.0362349527770148,0.3375,0.275,0.175,0.2625
arm-ca973d7c40,Fanuc,M-20iA,development,10000,True,12035,10000,9989,7,0,[],0.0217282363259423,0.0637465977186657,0.035460210986178,0.4125,0.35,0.25,0.33749999999999997
arm-58bea95949,Fanuc,M-20iA/10L,development,1000,True,3970,1000,1011,7,0,[],0.0210701438246064,0.0639196406784869,0.0426084377078816,0.0875,0.125,0.1125,0.10833333333333334
arm-58bea95949,Fanuc,M-20iA/10L,development,5000,True,3970,5000,3970,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-58bea95949,Fanuc,M-20iA/10L,development,10000,True,3970,10000,3970,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-f39f0bc934,Fanuc,M-20iB/25,development,1000,True,12598,1000,1741,7,0,[],0.0243565419835905,0.0742583102405866,0.0563383352038301,0.3125,0.375,0.225,0.30416666666666664
arm-f39f0bc934,Fanuc,M-20iB/25,development,5000,True,12598,5000,4991,7,0,[],0.023877572212279,0.0716203452211395,0.0405577807798733,0.6125,0.6125,0.2125,0.4791666666666667
arm-f39f0bc934,Fanuc,M-20iB/25,development,10000,True,12598,10000,9990,7,0,[],0.0237150236298116,0.0726939977279298,0.040714199232932,0.6625,0.7375,0.3125,0.5708333333333333
arm-80ddefb001,Fanuc,M-430iA/2F,development,1000,True,6614,1000,992,6,0,[],0.0224465738297486,0.062114483192265,0.0431039578820418,0.1875,0.0625,0.125,0.125
arm-80ddefb001,Fanuc,M-430iA/2F,development,5000,True,6614,5000,4992,6,0,[],0.0226565145077676,0.0680506517810165,0.0350111383265063,0.425,0.5,0.1625,0.36250000000000004
arm-80ddefb001,Fanuc,M-430iA/2F,development,10000,True,6614,10000,6614,6,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-de477bc804,Fanuc,M-430iA/2P,development,1000,True,8286,1000,996,7,0,[],0.0340569249688615,0.1121289321982681,0.0970706610339536,0.85,0.6875,0.3125,0.6166666666666667
arm-de477bc804,Fanuc,M-430iA/2P,development,5000,True,8286,5000,4992,7,0,[],0.0236971636660857,0.067618829089018,0.0400799440424495,0.5875,0.4625,0.1875,0.41250000000000003
arm-de477bc804,Fanuc,M-430iA/2P,development,10000,True,8286,10000,8286,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-c10bd68349,Fanuc,M-6iB,development,1000,True,1866,1000,994,7,0,[],0.0229888165495742,0.0670873410243416,0.0425254543255853,0.2375,0.1875,0.1,0.17500000000000002
arm-c10bd68349,Fanuc,M-6iB,development,5000,True,1866,5000,1866,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-c10bd68349,Fanuc,M-6iB,development,10000,True,1866,10000,1866,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-b7a6f7cec6,Fanuc,M-6iB/6S,development,1000,True,2188,1000,990,7,0,[],0.0245962939400996,0.0728239308492334,0.0415245267122499,0.325,0.2875,0.05,0.22083333333333335
arm-b7a6f7cec6,Fanuc,M-6iB/6S,development,5000,True,2188,5000,2188,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-b7a6f7cec6,Fanuc,M-6iB/6S,development,10000,True,2188,10000,2188,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-ac0ed3c3ba,Fanuc,M-710iC/45M,development,1000,True,3164,1000,992,7,0,[],0.0217157056344197,0.0649283214686201,0.0418260880120939,0.125,0.1375,0.0625,0.10833333333333334
arm-ac0ed3c3ba,Fanuc,M-710iC/45M,development,5000,True,3164,5000,3164,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-ac0ed3c3ba,Fanuc,M-710iC/45M,development,10000,True,3164,10000,3164,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-0cf081ce97,Fanuc,M-710iC/50,development,1000,True,1454,1000,994,7,0,[],0.022468830411037,0.0671425672237081,0.0433633171805519,0.2,0.2,0.1375,0.1791666666666667
arm-0cf081ce97,Fanuc,M-710iC/50,development,5000,True,1454,5000,1454,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-0cf081ce97,Fanuc,M-710iC/50,development,10000,True,1454,10000,1454,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-ee37d02375,Fanuc,M-900iA/260L,development,1000,True,3479,1000,1070,9,0,[],0.0207975425235535,0.0617148364534282,0.0516329077685555,0.05,0.05,0.2125,0.10416666666666667
arm-ee37d02375,Fanuc,M-900iA/260L,development,5000,True,3479,5000,3479,9,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-ee37d02375,Fanuc,M-900iA/260L,development,10000,True,3479,10000,3479,9,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-ad68760742,Fanuc,M-900iB/700,development,1000,True,3750,1000,992,11,0,[],0.0202897236050628,0.0616026983879058,0.0402848308847879,0.025,0.0375,0.025,0.029166666666666664
arm-ad68760742,Fanuc,M-900iB/700,development,5000,True,3750,5000,3750,11,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-ad68760742,Fanuc,M-900iB/700,development,10000,True,3750,10000,3750,11,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-f999a17088,Fanuc,R-2000iB/210F,development,1000,True,2366,1000,992,7,0,[],0.0218845590075702,0.0632541703547963,0.0423116344832236,0.1375,0.0875,0.0875,0.10416666666666667
arm-f999a17088,Fanuc,R-2000iB/210F,development,5000,True,2366,5000,2366,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-f999a17088,Fanuc,R-2000iB/210F,development,10000,True,2366,10000,2366,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-3179bae95f,Fanuc,R-2000iC/125L,validation,1000,True,2788,1000,994,7,0,[],0.0209753239441781,0.062978390978381,0.0391539963335928,0.075,0.0625,0.0125,0.05000000000000001
arm-3179bae95f,Fanuc,R-2000iC/125L,validation,5000,True,2788,5000,2788,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-3179bae95f,Fanuc,R-2000iC/125L,validation,10000,True,2788,10000,2788,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-41abb9dda3,Fanuc,R-2000iC/165F,validation,1000,True,2834,1000,994,7,0,[],0.0218956568313057,0.0641119870297802,0.0411373374968638,0.1375,0.125,0.0375,0.09999999999999999
arm-41abb9dda3,Fanuc,R-2000iC/165F,validation,5000,True,2834,5000,2834,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-41abb9dda3,Fanuc,R-2000iC/165F,validation,10000,True,2834,10000,2834,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-594e86b100,Fanuc,R-2000iC/210F,validation,1000,True,2834,1000,994,7,0,[],0.0218655074185589,0.0637611284471752,0.0425711796696993,0.125,0.1,0.1,0.10833333333333334
arm-594e86b100,Fanuc,R-2000iC/210F,validation,5000,True,2834,5000,2834,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-594e86b100,Fanuc,R-2000iC/210F,validation,10000,True,2834,10000,2834,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-6c6b40b711,Fanuc,R-2000iC/210L,validation,1000,True,4437,1000,996,7,0,[],0.021184821623621,0.0611704644596101,0.0388805348054624,0.0875,0.025,0.0,0.0375
arm-6c6b40b711,Fanuc,R-2000iC/210L,validation,5000,True,4437,5000,4437,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
arm-6c6b40b711,Fanuc,R-2000iC/210L,validation,10000,True,4437,10000,4437,7,0,[],0.0,0.0,0.0,0.225,0.225,0.225,0.225
arm-42320609fa,Fanuc,R-2000iC/270F,validation,1000,True,1331,1000,1014,7,0,[],0.0169107834506325,0.052173872108519,0.0267141923733596,0.0,0.0,0.0,0.0
arm-42320609fa,Fanuc,R-2000iC/270F,validation,5000,True,1331,5000,1331,7,0,[],0.0,0.0,0.0,0.15,0.15,0.15,0.15
