entity_id,v3_split,manufacturer,name,orientation_module,local_curvature_module,persistence_module,geometry_score_v3,score_without_orientation,score_without_local_curvature,score_without_persistence,single_scale_score_1,faces_1,single_scale_score_0.5,faces_0.5,single_scale_score_0.25,faces_0.25,approximation_difficulty,difficulty_1000,difficulty_5000,difficulty_10000
arm-31ecc95a27,validation,Universal Robots,UR5e,0.8624999999999999,0.012500000000000002,0.012500000000000002,0.2958333333333333,0.012500000000000002,0.43749999999999994,0.43749999999999994,0.24374999999999997,106731.0,0.49999999999999994,69073.0,0.4624999999999999,68895.0,0.7138888888888889,0.6291666666666667,0.7291666666666666,0.7833333333333333
arm-33a606333c,validation,Yaskawa Motoman,Motoman SIA5D,0.6,0.33749999999999997,0.2791666666666667,0.4055555555555556,0.30833333333333335,0.4395833333333333,0.46875,0.396875,11693.0,0.36250000000000004,5840.0,0.3875,2916.0,0.4027777777777777,0.2416666666666667,0.4624999999999999,0.5041666666666665
arm-34e953c5c7,development,Staubli,TX2-60L,0.6625,0.6458333333333334,0.6041666666666666,0.6375000000000001,0.625,0.6333333333333333,0.6541666666666667,0.646875,35938.0,0.640625,17965.0,0.653125,8981.0,0.4361111111111111,0.32916666666666666,0.45416666666666666,0.525
arm-355efc5b8b,validation,Trossen Robotics,PincherX-150,0.012500000000000002,0.7041666666666666,0.5416666666666667,0.41944444444444445,0.6229166666666667,0.27708333333333335,0.3583333333333333,0.53125,10672.0,0.44375000000000003,5580.0,0.40937500000000004,3720.0,0.41250000000000003,0.25,0.4833333333333334,0.5041666666666667
arm-3acdb3f5e2,development,Fanuc,CR-7iA/L,0.5833333333333334,0.8166666666666668,0.6041666666666666,0.6680555555555556,0.7104166666666667,0.59375,0.7000000000000001,0.753125,1677.0,0.665625,927.0,0.6124999999999999,689.0,0.21944444444444444,0.2833333333333334,0.15,0.225
arm-3cd0743b5b,development,Trossen Robotics,ViperX-300s,0.2333333333333333,0.6583333333333333,0.6083333333333333,0.5,0.6333333333333333,0.4208333333333333,0.4458333333333333,0.55,27784.0,0.584375,14887.0,0.6125,12231.0,0.41805555555555557,0.32916666666666666,0.45,0.4749999999999999
arm-3ce41d3c31,development,KUKA,KR 10 R900-2,0.9041666666666667,0.8083333333333335,0.7374999999999999,0.8166666666666668,0.7729166666666667,0.8208333333333333,0.8562500000000001,0.83125,20336.0,0.7999999999999999,10165.0,0.78125,5079.0,0.5430555555555556,0.3958333333333333,0.5916666666666667,0.6416666666666667
arm-3d848aeb52,validation,Yaskawa Motoman,Motoman SIA10D,0.6958333333333333,0.30000000000000004,0.25833333333333336,0.41805555555555557,0.2791666666666667,0.4770833333333333,0.4979166666666667,0.396875,9887.0,0.36875,4938.0,0.378125,2508.0,0.3083333333333333,0.22083333333333333,0.4791666666666667,0.225
arm-402d7168a6,development,ABB,IRB 1200-7/0.7,0.9333333333333332,0.5499999999999999,0.5375,0.673611111111111,0.54375,0.7354166666666666,0.7416666666666666,0.6468750000000001,78918.0,0.6656249999999999,39455.0,0.65625,19724.0,0.8097222222222222,0.7708333333333334,0.8333333333333334,0.8250000000000001
arm-41abb9dda3,validation,Fanuc,R-2000iC/165F,0.25833333333333336,0.5125000000000001,0.3958333333333333,0.3888888888888889,0.4541666666666667,0.32708333333333334,0.38541666666666674,0.44375,2834.0,0.3625,1416.0,0.37812499999999993,804.0,0.15833333333333333,0.09999999999999999,0.15,0.225
