entity_id,manufacturer,name,v3_split,face_budget,approximation_ok,original_faces,target_faces,achieved_faces,mesh_count,failure_count,failures,normalized_chamfer,normalized_hausdorff,normal_error
arm-6af92e32a6,ABB,IRB 6600-255/2.55,development,1000,True,22783,1000,1042,9,0,[],0.0337203620096236,0.13318221590235577,0.26672624373686254
arm-6af92e32a6,ABB,IRB 6600-255/2.55,development,5000,True,22783,5000,4994,9,0,[],0.02457206376106708,0.08432805395448154,0.23240104784369264
arm-6af92e32a6,ABB,IRB 6600-255/2.55,development,10000,True,22783,10000,9992,9,0,[],0.02331831671846148,0.07183567811114565,0.22575435051176143
arm-022ef09303,ABB,IRB 7600-150/3.50,validation,1000,True,29816,1000,1134,9,0,[],0.03176087635543657,0.11425221977917337,0.26276184349429554
arm-022ef09303,ABB,IRB 7600-150/3.50,validation,5000,True,29816,5000,4988,9,0,[],0.021391983643036138,0.058693981958999226,0.20408155036695375
arm-022ef09303,ABB,IRB 7600-150/3.50,validation,10000,True,29816,10000,9990,9,0,[],0.021251481079010988,0.06158937170165576,0.19987416542413128
arm-19acb3833f,Fanuc,CR-35iA,development,1000,True,54884,1000,5978,7,0,[],0.024268208644578244,0.07239119972306386,0.04861289627948059
arm-19acb3833f,Fanuc,CR-35iA,development,5000,True,54884,5000,6690,7,0,[],0.02364971238107743,0.07693518802063692,0.04139340877275192
arm-19acb3833f,Fanuc,CR-35iA,development,10000,True,54884,10000,10730,7,0,[],0.0238393375541081,0.06889392683948913,0.03719837809004673
arm-8802f2b8b4,Fanuc,CR-7iA,development,1000,True,1819,1000,993,7,0,[],0.024603847136340565,0.07555891384114843,0.043995247131498355
arm-8802f2b8b4,Fanuc,CR-7iA,development,5000,True,1819,5000,1819,7,0,[],0.0,0.0,0.0
arm-8802f2b8b4,Fanuc,CR-7iA,development,10000,True,1819,10000,1819,7,0,[],0.0,0.0,0.0
arm-3acdb3f5e2,Fanuc,CR-7iA/L,development,1000,True,1837,1000,995,7,0,[],0.023437736806867032,0.07574732925888229,0.04927252243603808
arm-3acdb3f5e2,Fanuc,CR-7iA/L,development,5000,True,1837,5000,1837,7,0,[],0.0,0.0,0.0
arm-3acdb3f5e2,Fanuc,CR-7iA/L,development,10000,True,1837,10000,1837,7,0,[],0.0,0.0,0.0
